x,y,method,obs_r,obs_n,null_runs,null_abs_mean,null_abs_p95,p_two_sided_abs,abs_percentile
pfss_equator_abs_mean,speed_mean,pearson,0.0847111653461764,214,2000,0.07381844968741515,0.18599627802481875,0.3543228385807096,64.6
pfss_equator_abs_mean,speed_mean,spearman,-0.0133577901667391,214,2000,0.07944619078290703,0.19473727067130553,0.8905547226386806,10.95
pfss_equator_abs_mean,bmag_mean,pearson,0.2383208139679086,214,2000,0.0671492423302725,0.16864820957635812,0.0069965017491254375,99.35
pfss_equator_abs_mean,bmag_mean,spearman,0.2761800944008303,214,2000,0.08126360382881131,0.19445913302961168,0.0029985007496251873,99.75
pfss_equator_abs_mean,density_mean,pearson,0.1868140258926877,214,2000,0.08862020715311374,0.20592633381120873,0.08245877061469266,91.8
pfss_equator_abs_mean,density_mean,spearman,0.2229221449103226,214,2000,0.09305374642989431,0.22247325290582876,0.050474762618690654,95.0
pfss_equator_abs_mean,pdyn_mean,pearson,0.158078862142436,214,2000,0.06455854160732949,0.16587138152700107,0.06196901549225387,93.85
pfss_equator_abs_mean,pdyn_mean,spearman,0.2268931126423833,214,2000,0.09234395462101014,0.21624184577143354,0.04147926036981509,95.9
pfss_equator_abs_mean,ma_mean,pearson,-0.1033704522958051,214,2000,0.07087680287081025,0.1671965382390946,0.2478760619690155,75.25
pfss_equator_abs_mean,ma_mean,spearman,-0.1651453603166488,214,2000,0.06679275417775071,0.15692155104064945,0.041979010494752625,95.85
pfss_midlat_abs_mean,speed_mean,pearson,0.0523850720204474,214,2000,0.07000046333534261,0.17591806679071295,0.5402298850574713,46.0
pfss_midlat_abs_mean,speed_mean,spearman,-0.0657665147910496,214,2000,0.08043013853703766,0.1917018600989489,0.5252373813093453,47.5
pfss_midlat_abs_mean,bmag_mean,pearson,0.2236147372298038,214,2000,0.0702416711929542,0.17156662866403224,0.009495252373813094,99.1
pfss_midlat_abs_mean,bmag_mean,spearman,0.2495918675339732,214,2000,0.08357566866225696,0.20145133833470655,0.015992003998001,98.45
pfss_midlat_abs_mean,density_mean,pearson,0.180700601267501,214,2000,0.09013470468671891,0.20910639328485897,0.08995502248875563,91.05
pfss_midlat_abs_mean,density_mean,spearman,0.2146544994811293,214,2000,0.0992972568731231,0.2393745389091777,0.08395802098950525,91.65
pfss_midlat_abs_mean,pdyn_mean,pearson,0.1360282547759635,214,2000,0.06290859386678219,0.17099879224205466,0.09045477261369315,91.0
pfss_midlat_abs_mean,pdyn_mean,spearman,0.1975939094685478,214,2000,0.09851506316752941,0.2320325954859782,0.10194902548725637,89.85
pfss_midlat_abs_mean,ma_mean,pearson,-0.1069199389628896,214,2000,0.07170347665275417,0.16857200103961434,0.23388305847076463,76.65
pfss_midlat_abs_mean,ma_mean,spearman,-0.1573687287821692,214,2000,0.07220036856653943,0.17796835348102524,0.0769615192403798,92.35
pfss_global_abs_mean,speed_mean,pearson,-0.0335238692611167,214,2000,0.06984449119985757,0.16941809178217554,0.6966516741629185,30.35
pfss_global_abs_mean,speed_mean,spearman,-0.1286451069394873,214,2000,0.08629819592080247,0.2125735755996955,0.24387806096951525,75.65
pfss_global_abs_mean,bmag_mean,pearson,0.1905532203623366,214,2000,0.07245395784907814,0.17662167062805534,0.030984507746126936,96.95
pfss_global_abs_mean,bmag_mean,spearman,0.2102850299797233,214,2000,0.08134692560617196,0.19823896159713952,0.03698150924537731,96.35
pfss_global_abs_mean,density_mean,pearson,0.1374189717418519,214,2000,0.09156486560023491,0.21822146241614046,0.23788105947026486,76.25
pfss_global_abs_mean,density_mean,spearman,0.1555001821404409,214,2000,0.10084347921915321,0.2374282994205179,0.22488755622188905,77.55
pfss_global_abs_mean,pdyn_mean,pearson,0.0601929331263127,214,2000,0.06297581715550028,0.15202521669620078,0.45827086456771615,54.2
pfss_global_abs_mean,pdyn_mean,spearman,0.1087497818906483,214,2000,0.09454929026451692,0.22755689975541127,0.35582208895552225,64.45
pfss_global_abs_mean,ma_mean,pearson,-0.147545247613123,214,2000,0.07272717886802596,0.16974404215009692,0.10094952523738131,89.95
pfss_global_abs_mean,ma_mean,spearman,-0.1891254503766786,214,2000,0.07643000143875642,0.17987449146082757,0.03948025987006497,96.1
