cr,rss,nrho,input_mean_abs_br,source_surface_min_br,source_surface_max_br,source_surface_mean_abs_br,source_surface_finite_fraction
2281,2.5,35,9.911984182098768,-0.1502123380832651,0.210549294923956,0.0626696615367698,1.0
2283,2.5,35,11.46247337962963,-0.1797691413092566,0.1510975062868443,0.0575484220009767,1.0
2284,2.5,35,12.291373456790124,-0.1903970767807361,0.2233720820875404,0.0603425710258098,1.0
2286,2.5,35,13.136320987654322,-0.2619490315896886,0.1906125616103855,0.0698138312930978,1.0
2287,2.5,35,,-0.3505930353627354,0.2411078533674,0.0780013332243275,1.0
2290,2.5,35,14.041017361111113,-0.3658873235167112,0.2309978204932204,0.0914772444002767,1.0
