cr,x,y,method,r,n
2283,pfss_midlat_abs_mean,density_mean,pearson,0.3120186398471651,36
2283,pfss_midlat_abs_mean,density_mean,spearman,0.2671814671814672,36
2283,pfss_midlat_abs_mean,pdyn_mean,pearson,0.30668160607581313,36
2283,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2990990990990991,36
2283,pfss_midlat_abs_mean,ma_mean,pearson,-0.029333162731545757,36
2283,pfss_midlat_abs_mean,ma_mean,spearman,-0.038610038610038616,36
2283,pfss_global_abs_mean,speed_mean,pearson,-0.1124624781082859,36
2283,pfss_global_abs_mean,speed_mean,spearman,-0.07953667953667955,36
2283,pfss_global_abs_mean,bmag_mean,pearson,0.20717995199996922,36
2283,pfss_global_abs_mean,bmag_mean,spearman,0.24761904761904763,36
2283,pfss_global_abs_mean,density_mean,pearson,0.12476663913993168,36
2283,pfss_global_abs_mean,density_mean,spearman,0.15752895752895751,36
2283,pfss_global_abs_mean,pdyn_mean,pearson,0.11156960637178366,36
2283,pfss_global_abs_mean,pdyn_mean,spearman,0.19716859716859722,36
2283,pfss_global_abs_mean,ma_mean,pearson,-0.14068758120002492,36
2283,pfss_global_abs_mean,ma_mean,spearman,-0.11248391248391248,36
2284,pfss_equator_abs_mean,speed_mean,pearson,0.6642060120468621,36
2284,pfss_equator_abs_mean,speed_mean,spearman,0.1268983268983269,36
2284,pfss_equator_abs_mean,bmag_mean,pearson,0.32642350454718966,36
2284,pfss_equator_abs_mean,bmag_mean,spearman,0.3003861003861004,36
2284,pfss_equator_abs_mean,density_mean,pearson,0.07317024496425918,36
2284,pfss_equator_abs_mean,density_mean,spearman,0.040154440154440155,36
2284,pfss_equator_abs_mean,pdyn_mean,pearson,0.34914320255109255,36
2284,pfss_equator_abs_mean,pdyn_mean,spearman,0.20154440154440154,36
2284,pfss_equator_abs_mean,ma_mean,pearson,-0.10560831911199563,36
2284,pfss_equator_abs_mean,ma_mean,spearman,-0.11351351351351353,36
2284,pfss_midlat_abs_mean,speed_mean,pearson,0.6573501648094884,36
2284,pfss_midlat_abs_mean,speed_mean,spearman,0.04555984555984556,36
2284,pfss_midlat_abs_mean,bmag_mean,pearson,0.29666475010944793,36
2284,pfss_midlat_abs_mean,bmag_mean,spearman,0.30347490347490347,36
2284,pfss_midlat_abs_mean,density_mean,pearson,0.020508554656885537,36
2284,pfss_midlat_abs_mean,density_mean,spearman,-0.029343629343629347,36
2284,pfss_midlat_abs_mean,pdyn_mean,pearson,0.3029383050687979,36
2284,pfss_midlat_abs_mean,pdyn_mean,spearman,0.11608751608751611,36
2284,pfss_midlat_abs_mean,ma_mean,pearson,-0.14191381089210234,36
2284,pfss_midlat_abs_mean,ma_mean,spearman,-0.17245817245817247,36
2284,pfss_global_abs_mean,speed_mean,pearson,0.3311979721004883,36
2284,pfss_global_abs_mean,speed_mean,spearman,-0.08082368082368084,36
2284,pfss_global_abs_mean,bmag_mean,pearson,0.11686210204045103,36
2284,pfss_global_abs_mean,bmag_mean,spearman,0.2380952380952381,36
2284,pfss_global_abs_mean,density_mean,pearson,-0.17059965967992202,36
2284,pfss_global_abs_mean,density_mean,spearman,-0.19356499356499354,36
