rss,cr,rows,occupied_10deg_bins,coverage_fraction_10deg,mean_speed_km_s,median_speed_km_s,mean_omni_bmag_nt,mean_ballistic_lon_deg,min_ballistic_lon_deg,max_ballistic_lon_deg,lag_mean_days,lag_min_days,lag_max_days,shift_mean_deg
2.0,2281,643,36,1.0,370.48833592534993,377.0,5.8538102662396465,195.5356267210769,0.2288887223554496,359.1887661238825,4.724375689024467,3.390025039800176,6.35315803755144,62.991675853659565
2.0,2283,629,36,1.0,385.2591414944356,377.0,6.569475350963671,186.52074639443447,0.7868233932461948,359.8594880751964,4.507068821689277,3.493589959549672,5.661229934451779,60.09425095585702
2.0,2284,646,36,1.0,447.43498452012386,394.0,7.469659443241155,179.52996759019052,0.9072364923747428,358.5580921339972,4.094527456535505,1.7051219385078416,5.462906592799008,54.59369942047339
2.0,2286,598,36,1.0,357.185618729097,348.0,6.2570234250065475,176.96260700942193,0.4002206439394058,359.3606053004535,4.904162524313636,3.0093906493664715,6.648653760228251,63.053518169746745
2.0,2287,634,34,0.9444444444444444,394.8391167192429,390.0,8.355205047393824,176.64780564923012,0.8213377503779427,359.551637452442,4.415123829725195,3.1883878627116893,5.661229934451779,58.86831772966927
2.0,2290,671,36,1.0,409.39344262295083,406.0,7.5053651212047,173.57717692097768,0.3391209033613549,358.6976409827475,4.273615250905246,2.998868304438617,5.624107115209472,54.94648179735317
2.5,2281,643,36,1.0,370.48833592534993,377.0,5.8538102662396465,195.68347218519332,0.421984245936585,359.3738714878672,4.713287279215737,3.3820684357158544,6.338246772119341,62.843830389543164
2.5,2283,629,36,1.0,385.2591414944356,377.0,6.569475350963671,186.08945437536178,0.0221564253647414,359.99204621411354,4.49649044490033,3.485390282020819,5.647942668225156,59.95320593200439
2.5,2284,646,36,1.0,447.43498452012386,394.0,7.469659443241155,179.65810247022458,1.03354368191723,358.68469721785465,4.084917340532951,1.7011199090181135,5.450084804051663,54.46556454043936
2.5,2286,598,36,1.0,357.185618729097,348.0,6.2570234250065475,177.11059762138208,0.5570794101731593,359.524933531746,4.892652143383401,3.00232741837232,6.633048947566752,62.90552755778658
2.5,2287,634,34,0.9444444444444444,394.8391167192429,390.0,8.355205047393824,176.78597332993633,0.9582779431217076,359.6641753047597,4.404761253672232,3.1809045138888883,5.647942668225156,58.730150048963104
2.5,2290,671,36,1.0,409.39344262295083,406.0,7.5053651212047,173.7061398036571,0.4609171218487589,358.8144883706869,4.263584804474628,2.991829770056332,5.61090697859745,54.81751891467379
3.0,2281,643,36,1.0,370.48833592534993,377.0,5.8538102662396465,195.8313176493097,0.6150797695177346,359.55897685185187,4.702198869407007,3.3741118316315326,6.3233355066872425,62.69598492542677
3.0,2283,629,36,1.0,385.2591414944356,377.0,6.569475350963671,185.08582531336387,0.107519396307623,358.7887323963185,4.485912068111383,3.4771906044919665,5.634655401998533,59.81216090815175
3.0,2284,646,36,1.0,447.43498452012386,394.0,7.469659443241155,179.78623735025857,1.1598508714597031,358.8113023017121,4.075307224530399,1.697117879528385,5.437263015304317,54.33742966040533
3.0,2286,598,36,1.0,357.185618729097,348.0,6.2570234250065475,177.25858823334224,0.7139381764069412,359.68926176303853,4.881141762453168,2.995264187378168,6.617444134905253,62.75753694582645
3.0,2287,634,34,0.9444444444444444,394.8391167192429,390.0,8.355205047393824,176.92414101064247,1.0952181358654656,359.77671315707744,4.394398677619271,3.173421165066088,5.634655401998533,58.59198236825693
3.0,2290,671,36,1.0,409.39344262295083,406.0,7.5053651212047,173.83510268633646,0.5827133403361415,358.93133575862623,4.25355435804401,2.984791235674048,5.597706841985428,54.6885560319944
