rss,cr,x,y,method,r,n
2.0,2281,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.2612780750632069,36
2.0,2281,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.04504504504504505,36
2.0,2281,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.33721603776630643,36
2.0,2281,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.07052767052767053,36
2.0,2281,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.31855331811893445,36
2.0,2281,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.32664092664092664,36
2.0,2281,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.2763369591924656,36
2.0,2281,radial_expansion_proxy_midlat_mean,speed_mean,spearman,0.047361647361647365,36
2.0,2281,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.3495720452569802,36
2.0,2281,radial_expansion_proxy_global_mean,speed_mean,spearman,0.08133848133848134,36
2.0,2281,radial_expansion_proxy_global_mean,bmag_mean,spearman,-0.32936482467327405,36
2.0,2283,expansion_speed_proxy_equator_mean,speed_mean,spearman,-0.010296010296010296,36
2.0,2283,expansion_speed_proxy_equator_mean,bmag_mean,spearman,0.37863577863577863,36
2.0,2283,expansion_speed_proxy_midlat_mean,speed_mean,spearman,-0.00025740025740025744,36
2.0,2283,expansion_speed_proxy_midlat_mean,bmag_mean,spearman,0.39047619047619053,36
2.0,2283,expansion_speed_proxy_global_mean,speed_mean,spearman,-0.11119691119691119,36
2.0,2283,expansion_speed_proxy_global_mean,bmag_mean,spearman,0.43577863577863574,36
2.0,2283,radial_expansion_proxy_equator_mean,speed_mean,spearman,0.007722007722007722,36
2.0,2283,radial_expansion_proxy_equator_mean,bmag_mean,spearman,-0.35469755469755476,36
2.0,2283,radial_expansion_proxy_midlat_mean,speed_mean,spearman,-0.08648648648648649,36
2.0,2283,radial_expansion_proxy_midlat_mean,bmag_mean,spearman,-0.3693693693693694,36
