rss,pfss_polarity_proxy,omni_polarity,bins,direct_agreement_fraction,direct_agreement_count,direct_binomial_p_approx,inverted_agreement_fraction,inverted_agreement_count,inverted_binomial_p_approx,best_agreement_fraction,best_orientation
2.0,equator_signed_br,RTN Br sign,214,0.4719626168224299,101,0.4120433325206311,0.5280373831775701,113,0.4120433325206311,0.5280373831775701,inverted
2.0,global_signed_br,RTN Br sign,214,0.4719626168224299,101,0.4120433325206311,0.5280373831775701,113,0.4120433325206311,0.5280373831775701,inverted
2.5,equator_signed_br,RTN Br sign,214,0.43457943925233644,93,0.05561496886688289,0.5654205607476636,121,0.05561496886688289,0.5654205607476636,inverted
2.5,global_signed_br,RTN Br sign,214,0.4672897196261682,100,0.33855701001809974,0.5327102803738317,114,0.33855701001809974,0.5327102803738317,inverted
3.0,global_signed_br,RTN Br sign,214,0.4532710280373832,97,0.17157144528598886,0.5467289719626168,117,0.17157144528598886,0.5467289719626168,inverted
3.0,equator_signed_br,RTN Br sign,214,0.45794392523364486,98,0.21852689230919908,0.5420560747663551,116,0.21852689230919908,0.5420560747663551,inverted
