rss,matched_stream_peaks,median_abs_timing_error_days,mean_abs_timing_error_days,median_abs_phase_error_deg,mean_abs_phase_error_deg
2.0,11,1.5555555555555554,2.340909090909091,20.0,30.90909090909091
2.5,11,3.75,3.376262626262626,50.0,44.54545454545455
3.0,11,3.1111111111111107,3.2398989898989896,40.0,42.72727272727273
