rss,cr,ballistic_phase10_deg,n,bx_gse_mean,bmag_mean,pfss_equator_signed_mean,pfss_global_signed_mean,omni_radial_polarity_proxy,pfss_equator_polarity_proxy,pfss_global_polarity_proxy
2.0,2281,0.0,12,-2.3166666800777116,5.225000063578288,0.19143401949180308,0.15828889291826617,1.0,1.0,1.0
2.0,2281,10.0,22,-3.3272727372294124,7.6954544674266465,0.3319954164296367,0.23100685848267596,1.0,1.0,1.0
2.0,2281,20.0,4,-3.800000011920929,7.8500001430511475,0.4854925741174191,0.3090309744022236,1.0,1.0,1.0
2.0,2281,30.0,22,-3.663636402650313,6.731818199157715,0.5066504693136117,0.3191421294135282,1.0,1.0,1.0
2.0,2281,40.0,11,-0.9727272662249479,6.0545454892245205,0.4446258861381121,0.2847845601182394,1.0,1.0,1.0
2.0,2281,50.0,22,-1.0454545464705338,4.768181865865534,0.2514616139386445,0.17544208395710997,1.0,1.0,1.0
2.0,2281,60.0,16,1.6750000081956387,5.106250032782555,0.07923463089967932,0.07613678585536617,-1.0,1.0,1.0
2.0,2281,70.0,5,1.540000057220459,5.060000038146972,-0.06032695494480145,-0.006508484164654179,-1.0,-1.0,-1.0
2.0,2281,80.0,11,3.8363637057217685,8.74545448476618,-0.19943651254601819,-0.09616752526552301,-1.0,-1.0,-1.0
2.0,2281,90.0,19,3.615789443254471,10.1736841954683,-0.25586666970813543,-0.14045000410307149,-1.0,-1.0,-1.0
2.0,2281,100.0,12,5.033333361148834,9.899999936421713,-0.2536379202769154,-0.14415872224747356,-1.0,-1.0,-1.0
2.0,2281,110.0,15,2.7266666809717814,5.793333371480306,-0.20011048219684965,-0.11540031785127956,-1.0,-1.0,-1.0
2.0,2281,120.0,29,2.4034482713403373,3.968965505731517,-0.11021566999570793,-0.060924595983552994,-1.0,-1.0,-1.0
2.0,2281,130.0,6,1.8666666845480602,3.7333333492279053,-0.028813885711218384,-0.012580244715811867,-1.0,-1.0,-1.0
2.0,2281,140.0,32,2.6187499798834324,3.7281250059604645,0.09242901382784055,0.05551871801302615,-1.0,1.0,1.0
2.0,2281,150.0,48,0.8416666748623053,3.791666656732559,0.1663611935825249,0.09470652190660588,-1.0,1.0,1.0
2.0,2281,160.0,13,0.12307693293461436,3.438461505449735,0.17533228444147703,0.09904639915038087,-1.0,1.0,1.0
2.0,2281,170.0,5,4.059999942779541,15.3,0.0628639423508503,0.030715388649075342,-1.0,1.0,1.0
2.0,2281,180.0,16,0.6937500131316483,13.012500047683716,-0.02181345200582547,-0.02489100394872692,-1.0,-1.0,-1.0
2.0,2281,190.0,10,-1.2700000286102298,10.719999980926513,-0.1378580863768176,-0.10710373400192177,1.0,-1.0,-1.0
2.0,2281,200.0,12,-1.6500000121692817,9.991666634877523,-0.23146793290296908,-0.1843959693581109,1.0,-1.0,-1.0
2.0,2281,210.0,17,-1.4647058866479818,5.78823532777674,-0.2425818905233074,-0.20704133587037016,1.0,-1.0,-1.0
2.0,2281,220.0,17,-2.117647032089093,5.911764705882353,-0.19514203262017432,-0.19271154975451502,1.0,-1.0,-1.0
2.0,2281,230.0,13,-0.7153846329221358,4.738461567805364,-0.15672617205156858,-0.1742844487708883,1.0,-1.0,-1.0
2.0,2281,240.0,16,1.1749999960884452,4.606249988079071,-0.12172498142402177,-0.15297225772178571,-1.0,-1.0,-1.0
2.0,2281,250.0,10,3.1799999594688417,6.429999971389771,-0.10355058005827185,-0.137151892449633,-1.0,-1.0,-1.0
2.0,2281,260.0,16,3.649999976158142,5.306250035762787,-0.06875069213986165,-0.10799413140551126,-1.0,-1.0,-1.0
2.0,2281,270.0,24,2.162500005836288,5.020833333333333,-0.043425305904619245,-0.08859162498729532,-1.0,-1.0,-1.0
2.0,2281,280.0,25,0.6319999897480011,3.8160000038146973,-0.012345211052607632,-0.06261174630643607,-1.0,-1.0,-1.0
2.0,2281,290.0,25,-1.1519999885559082,3.8239999771118165,-0.002233503247633052,-0.048267335247185274,1.0,-1.0,-1.0
2.0,2281,300.0,9,-3.8444444603390164,6.733333322736952,0.002272192832261167,-0.0294906090916183,1.0,1.0,-1.0
