rss,cr,ballistic_phase10_deg,n,speed_mean,bmag_mean,density_mean,pdyn_mean,ma_mean,expansion_speed_proxy_equator_mean,expansion_speed_proxy_midlat_mean,expansion_speed_proxy_global_mean,radial_expansion_proxy_equator_mean,radial_expansion_proxy_midlat_mean,radial_expansion_proxy_global_mean
2.0,2281,0.0,12,286.5833333333333,5.225000063578288,8.200000087420145,1.129602771668707,7.733343744542492,-0.645735538061985,-1.038044552602046,-1.0173226343789097,4.496213501587872,12.276382693826706,10.510708185069475
2.0,2281,10.0,22,294.8636363636364,7.6954544674266465,9.195454489101063,1.3443059641715047,5.4266810045520275,-0.3193180680925394,-0.9370831243948378,-0.9335644997013574,2.1526842261205954,9.908156961552569,8.809630162280465
2.0,2281,20.0,4,311.0,7.8500001430511475,7.574999809265137,1.199490340234254,4.922230747459127,-0.23817962430529305,-0.6200973074694417,-0.9752773558760277,1.9844851841055688,4.617592705619003,9.566921898753648
2.0,2281,30.0,22,329.5,6.731818199157715,6.8045454242012715,1.2369723273058633,5.907398341038171,-0.05819930674393729,-1.2395356070966808,-1.0568376451913275,1.2918489529537842,18.648232124355868,11.752127065833266
2.0,2281,40.0,11,320.45454545454544,6.0545454892245205,5.6181818355213515,0.9682878342408169,5.723653436810093,-0.3270140635162408,-1.1881858925255697,-1.0610062337341222,3.138794242757014,16.681874769585164,11.601990357252754
2.0,2281,50.0,22,328.6363636363636,4.768181865865534,6.877272692593661,1.2376567019889397,9.030126887484185,-0.603382980165545,-1.5446529782130924,-1.2625881115475535,5.592995012991749,39.85568295799166,19.32813057248943
2.0,2281,60.0,16,320.5,5.106250032782555,6.387500017881393,1.1017584954799835,7.305652726823703,-0.9992673972591555,-1.5945060185188755,-1.430478802304529,12.466081362980042,51.121034341965434,29.188572929624844
2.0,2281,70.0,5,328.2,5.060000038146972,6.540000057220459,1.1798409450706093,7.621355715690418,-1.1161509169140618,-2.0340569724573476,-1.6903786318822607,14.365977525287445,109.12664093634255,49.03622836971737
2.0,2281,80.0,11,365.45454545454544,8.74545448476618,13.472727342085404,3.014523467594611,6.893877954049632,-0.5862179239221855,-1.107464447841931,-1.1161492334569798,4.4557538431469155,16.367985982153414,13.701714085082688
2.0,2281,90.0,19,394.7368421052632,10.1736841954683,8.494736771834525,2.2129880610668042,5.267266190236373,-0.7161391083284611,-1.0978452975629889,-1.0901985482063248,5.413288364702658,14.273281203481327,13.03385551860141
2.0,2281,100.0,12,384.75,9.899999936421713,4.958333333333333,1.2368548329222337,3.863509507827333,-0.36368156073281904,-1.1975145116168988,-1.0377896096517158,2.4205852989676946,19.549256529376855,11.703716567037155
2.0,2281,110.0,15,415.8666666666667,5.793333371480306,6.2,1.7900127843135594,8.42642780892058,-0.5031209510434735,-0.9134598015407803,-0.9502139435756043,4.074513570393977,9.501656027688183,9.047782258392367
2.0,2281,120.0,29,410.6896551724138,3.968965505731517,4.775862093629508,1.397791787752193,10.488391807909537,-0.8041526722746162,-1.2735282220589434,-1.130282536904578,6.85706298455718,19.895116927306344,13.702351223565303
2.0,2281,130.0,6,399.3333333333333,3.7333333492279053,4.0333333015441895,1.0774255191498152,9.930523307299806,-1.1164915403130615,-1.489463229395037,-1.1792082865151852,14.771533255969745,36.967024673342976,15.335776793911165
2.0,2281,140.0,32,407.34375,3.7281250059604645,3.640625,1.0003220920304776,9.960490558949301,-0.8536645786474965,-1.505044748284177,-1.1346357078017584,11.070281019061799,33.4712649729097,13.773903328551674
2.0,2281,150.0,48,333.25,3.791666656732559,4.695833330353101,0.8263454905308546,8.789229789780022,-0.6326413671338491,-1.5369099689571912,-1.3031805741244307,4.569730577803484,36.67863843298826,22.120560589035293
2.0,2281,160.0,13,316.38461538461536,3.438461505449735,6.7769230879270115,1.0284989958584652,10.911127553000643,-0.979597713112022,-2.040071608147506,-1.5670117544896163,11.322591989628787,111.51232108850044,37.85028375819897
2.0,2281,170.0,5,335.4,15.3,37.54000015258789,7.0751221801260655,6.656252841891188,-1.2158027827323452,-1.8423296151832567,-1.2837471140660945,18.45328914435451,76.71377885750108,19.67651861449655
2.0,2281,180.0,16,339.9375,13.012500047683716,21.512499928474426,4.118379459796615,5.324494196657723,-1.366005087768976,-1.5388768089363563,-1.1632852902622948,40.46178852116249,35.41312889840837,14.727736444868095
2.0,2281,190.0,10,352.3,10.719999980926513,4.770000028610229,0.9896031793780498,3.252752393847635,-0.7813064000077082,-0.9415691497266196,-0.8954465324364485,6.627280385593744,9.944263181399716,8.108217799779684
2.0,2281,200.0,12,383.3333333333333,9.991666634877523,3.574999988079071,0.8741276299756641,3.471372026759933,-0.6029328592671404,-1.2300842539356187,-1.0200459856640016,4.901584469814764,18.839960398324582,10.592747902520896
2.0,2281,210.0,17,388.5882352941176,5.78823532777674,3.97647061067469,1.004430948329662,6.2058232260330275,-0.5824359674220094,-1.724527836980609,-1.285343313213968,4.471049160669692,62.84784601328914,21.38603485060255
2.0,2281,220.0,17,390.47058823529414,5.911764705882353,3.411764719906975,0.869260485667989,5.635243377508948,-0.5195317552752056,-1.8741992701251085,-1.3996536810610032,3.9993687722587805,81.27247105703316,26.411781399218565
2.0,2281,230.0,13,401.6923076923077,4.738461567805364,6.338461527457604,1.7149877716685482,11.30264399775039,-0.6884548319750915,-1.042518691634696,-0.9294478172954853,5.231769259744805,12.070110197723206,8.619067160701631
2.0,2281,240.0,16,402.0625,4.606249988079071,8.50624993443489,2.313053618212423,13.828640522444575,-0.8229811442749053,-1.1714451793957794,-0.9609076052483099,7.653549928363603,17.055979222686883,9.453264782126944
2.0,2281,250.0,10,423.2,6.429999971389771,4.429999995231628,1.3292309085518474,6.374883216387444,-0.8354615348453548,-0.9907657221320368,-0.9716732113974441,7.5173943064460955,10.285417075162187,9.52440731357683
2.0,2281,260.0,16,478.5625,5.306250035762787,3.0062499791383743,1.1499865783447576,7.1939545213997045,-1.1197784746266841,-1.1600570587352599,-1.1639332918693277,15.16404238113711,17.75446069606356,15.044724625039448
2.0,2281,270.0,24,451.7083333333333,5.020833333333333,3.9125000139077506,1.3394756780009025,8.261201595797674,-1.4153747890823922,-1.3974303942756208,-1.3690412237870913,39.89331127190089,27.064619322186,23.619373781250932
2.0,2281,280.0,25,422.64,3.8160000038146973,3.5599999904632567,1.0725922396300265,9.658172299528236,-1.7288151519342099,-1.9313735771271998,-1.4927447597420456,70.34570846516777,90.49593764803127,33.0415282163118
2.0,2281,290.0,25,385.44,3.8239999771118165,4.651999988555908,1.1441658251835345,11.435102731599727,-2.1444461722272785,-2.2849174195427926,-1.6783281593124277,176.40834370992906,210.3219126591001,50.76530673605414
2.0,2281,300.0,9,389.8888888888889,6.733333322736952,2.377777788374159,0.6320966363248517,4.037508466315813,-1.8790071337356418,-2.592291315988382,-1.902212130021746,81.98069263972693,420.3134752822561,84.48303480489463
2.0,2281,310.0,18,418.1666666666667,5.744444449742635,2.200000007947286,0.6169643171897384,4.873440171921455,-1.526590686033581,-1.9271263808263894,-1.7604531699594002,46.879415545758725,92.48362061056616,59.72310192788203
2.0,2281,320.0,22,408.77272727272725,6.104545441540805,3.5636363192038103,1.067559014725761,5.710735056292443,-1.297676018584699,-1.763873295296395,-1.5847267328999053,24.76984771862953,61.56004053061121,39.27603493078983
2.0,2281,330.0,35,360.7142857142857,5.817142881665911,4.86571432522365,1.0799823067935774,6.330948886861826,-1.0717861939408357,-1.3852244161175913,-1.3288925176130042,13.427467227754315,29.561462037945777,22.11104200148096
2.0,2281,340.0,27,326.6666666666667,6.733333322736952,4.6222222469471115,0.8322210034803477,4.807859049663124,-1.0929571959517628,-1.4698652146166906,-1.3060988893232757,14.003271763217827,32.040606646470025,21.29325118023739
2.0,2281,350.0,27,293.037037037037,3.8851851887173123,4.525925936522307,0.645218937516502,7.4481293039654055,-1.0779632281461373,-1.378725874868665,-1.245381143215297,18.738946878223235,27.529951069790222,17.868590513257388
2.0,2283,0.0,9,345.44444444444446,4.555555529064602,9.18888881471422,1.8369956198319395,10.9665444252139,-1.6051167520576826,-1.8531201437720266,-1.6196101294298364,47.46243652448486,91.26057011150587,46.62385414532928
2.0,2283,10.0,26,352.53846153846155,4.18461537361145,6.6999999926640434,1.386622073610316,10.057491410841866,-0.7376667808244003,-1.177753334373039,-1.308096297671308,6.391331409764067,15.97991915557133,21.034671362915752
2.0,2283,20.0,10,351.6,7.350000047683716,11.84000015258789,2.4776474323345123,8.032668997004425,-0.4885180179234473,-1.1412971987431706,-1.119611398366986,3.42395104688716,16.329529260332357,13.75155182862577
2.0,2283,30.0,12,364.9166666666667,9.858333428700766,15.358333428700766,3.4135463186257042,6.790638614693958,-0.27464579620697527,-1.4464112069530415,-1.3664470256611159,2.02189595727402,29.275807124240487,23.862243032266772
2.0,2283,40.0,26,363.03846153846155,8.1423076574619,14.561538457870483,3.2342104396875677,8.82691700132084,-0.366406610026807,-1.0671077298254443,-0.9524427604680381,2.736246833833827,16.274669039231334,10.006414879807703
2.0,2283,50.0,13,351.46153846153845,7.038461501781757,6.946153842485868,1.4473739884931158,6.328509382057037,-0.6700225510598552,-0.8522595238886717,-1.046021415916187,6.084272340281515,8.266140116717365,11.759961720223332
2.0,2283,60.0,25,358.08,6.163999977111817,8.904000034332276,1.9397370953221884,8.091844142355937,-0.6979693805076925,-1.0780915545237972,-1.2719020647255592,5.1788726106678995,14.913916642257032,20.130609200423233
2.0,2283,70.0,5,366.4,10.379999828338622,16.34000015258789,3.684290476364994,6.882383841242006,-1.2501348024063224,-1.5466821955021497,-1.4739001568287002,23.166310416519952,40.91803737521775,31.150541200006806
2.0,2283,80.0,7,405.0,14.728571483067103,12.457142761775426,3.385813473285773,4.546116453813247,-1.013140762930565,-1.4618081270184855,-1.425947429170087,10.734114216938332,30.112778639047683,27.06024610260491
2.0,2283,90.0,9,468.6666666666667,10.944444391462538,5.8222222328186035,2.1167365199751753,4.88925553496998,-0.8764553652754462,-1.1618442399946913,-1.131576627319709,8.904203388525385,14.88245221355433,13.761316725992254
2.0,2283,100.0,28,452.60714285714283,4.396428576537541,2.9249999863760814,0.9978704490385527,8.074397822256703,-0.7831816224023356,-1.2428813777735253,-1.1273254426048414,6.503636546759378,18.861996500675982,13.58456329865491
2.0,2283,110.0,12,451.4166666666667,5.691666603088379,3.7583333452542624,1.281731810262913,7.122505520719465,-0.6878554734792245,-1.4709244338930254,-1.2090928177573528,5.208401812504602,31.34918590590708,16.402455475642274
2.0,2283,120.0,36,421.9166666666667,6.263888888888889,2.4027777777777777,0.7302821795123309,4.7880311193214995,-1.1048736268260648,-1.638955650183456,-1.383021275495998,15.715990676970746,44.589414469591084,24.504686957415544
2.0,2283,130.0,22,382.3181818181818,5.654545458880338,3.040909084406766,0.7457781107714834,5.4296114657633945,-1.6807866136308798,-1.473620002470656,-1.4268198808577433,67.04115031675703,36.36488791476598,28.69645828989163
2.0,2283,140.0,41,342.5121951219512,4.024390238087352,4.224390239250369,0.8279239165256396,8.397083241756597,-1.2841674594394554,-1.613807180830924,-1.1867601482296763,22.04211554857977,49.39793404191318,16.152014691528944
2.0,2283,150.0,7,309.14285714285717,5.900000027247837,4.271428516932896,0.6861916439366661,5.037901132313993,-0.9818440468531964,-1.3021993855468985,-1.0196559549485613,10.902659690292888,20.72833569083994,10.630842540827329
2.0,2283,160.0,19,334.2631578947368,10.531578867059006,12.215789493761566,2.2851610632973047,5.039120799790141,-0.4631740335498472,-1.4544977167855255,-1.0742830765259512,3.3572167426310573,35.98671007106446,13.028362996567932
2.0,2283,170.0,7,341.0,12.300000054495674,14.228571619306292,2.7959975509767117,4.922611453474756,-0.5483735365239882,-1.3092707996622495,-1.0423007565916849,4.108871103758066,29.132770118755193,12.336926212756081
2.0,2283,180.0,3,401.3333333333333,14.333333651224772,5.399999936421712,1.4234138021746983,2.9386953679953236,-0.7190535673692509,-1.101961216752117,-0.8892736868418226,9.15085689121034,18.65710919813292,9.298905823823667
2.0,2283,190.0,16,422.9375,8.712500035762787,5.500000007450581,1.618712676317487,5.182390275577235,-0.7706114105282793,-1.368412835151612,-1.0635166730390953,7.477380905878552,24.860607399250096,12.09935786384163
2.0,2283,200.0,18,415.1666666666667,5.433333343929714,4.922222243414985,1.4107261443818715,7.759476161176668,-0.7429691801547569,-1.6748584078092383,-1.320162072407358,5.939583935480753,58.37150360884258,22.055385561458106
2.0,2283,210.0,13,442.84615384615387,5.276923032907339,4.6153845970447245,1.5136618353036548,8.418661564439859,-0.6638643114632103,-1.7809622971668484,-1.4956074394446557,6.364371503164813,62.67790736000623,32.2346080446536
2.0,2283,220.0,30,424.9,3.303333334128062,6.696666701634725,1.9637835015109282,16.271362032452018,-0.4204090101004784,-1.7958345909753701,-1.5030582758803417,2.8796965996536406,67.13294841144733,34.34486759641166
2.0,2283,230.0,32,383.5,11.000000029802322,11.393750041723251,2.903903044226263,6.026187489653898,-0.6497314399766134,-1.4127887249113702,-1.1614837651302692,5.187504037577889,26.181586275768414,14.883594038752658
2.0,2283,240.0,16,350.25,9.162499994039536,14.106249988079071,2.891899773866933,6.911604779489785,-0.41575521723093767,-1.4261497849419105,-1.1640681445150165,2.8306657203198458,33.83951573935253,15.995805290047121
2.0,2283,250.0,3,393.3333333333333,18.233333269755047,23.200000127156574,6.063200780357157,4.81898019874393,-0.5314818631351427,-1.4444504170118686,-1.1697377066471726,3.725137364149266,28.102437674396757,14.914769358744097
2.0,2283,260.0,5,434.8,19.41999969482422,15.15999984741211,4.793022682586332,4.013282970934564,-0.8680421323024179,-1.182377528338365,-1.2228016252978695,8.625933980707133,19.112530365646972,16.986346939902695
2.0,2283,270.0,26,381.0769230769231,4.173076895567087,4.373076888231131,1.0612446979988628,8.703563143413467,-1.5112281741257207,-1.894619019985524,-1.7167407406925175,41.34488683452989,87.00165007065613,52.960646207833186
2.0,2283,280.0,25,335.64,4.792000012397766,20.068000183105468,3.6928113685414714,18.518492073864206,-1.4618545240147405,-2.3082746340847042,-1.8780504463885388,32.693569970466584,228.37425000988972,79.2902066051952
2.0,2283,290.0,9,351.8888888888889,8.433333343929714,12.055555396609838,2.5418664497228303,6.577671076782908,-1.0882289492705162,-1.6594795827561208,-1.4009682966364434,13.74007854336012,46.95841297694929,25.370603313914724
2.0,2283,300.0,10,366.8,7.940000009536743,5.600000047683716,1.2545721099754021,5.004476809733189,-1.1503100809874005,-1.4059526517067358,-1.381348874840565,15.832665216312932,31.03050372890496,25.75295256491729
2.0,2283,310.0,10,417.5,7.030000019073486,4.6299999237060545,1.3541756580400754,5.87647213580372,-1.1815041104584822,-2.0866692364549158,-1.798707310452794,17.211176162935303,163.68410243150805,68.52943644891327
2.0,2283,320.0,19,420.2105263157895,6.357894746880782,4.694736857163279,1.3903978318596466,6.635596196889008,-1.4221282652238274,-1.529531198575084,-1.4743117543668596,32.75400003323625,38.25020786656711,31.84621994012521
2.0,2283,330.0,16,427.75,5.924999982118607,4.881249949336052,1.4896769110520978,7.323699694739026,-1.0563948412687858,-1.1372415534853986,-1.1382296113473185,13.139556447526221,15.035694062687647,13.983830018492531
2.0,2283,340.0,31,407.64516129032256,4.6806451274502665,3.6290322503735943,1.0072142721269937,7.647453212528846,-1.0085830906324926,-1.3160141967641008,-1.258806202515045,13.645989229837111,22.868493619920713,18.52520821132274
2.0,2283,350.0,33,355.3333333333333,4.033333337668217,5.036363652258208,1.0540687115900973,9.194695143002615,-1.2744545353037018,-1.5562669007113463,-1.482388019058538,24.8321096982043,39.03922302351871,31.93217413711414
2.0,2284,0.0,12,420.5,3.375,7.425000051657359,2.217489008225344,18.976033107325378,-0.824679987024087,-1.7240588710851992,-1.393759272586743,8.468148608413454,62.09262624654272,26.59827817470637
2.0,2284,10.0,3,450.0,3.0,11.633333365122477,3.9580418768585335,24.32005916591174,-0.7811796069959843,-1.2309106410213706,-1.1927739569404063,6.4488780271869075,17.193220995581587,15.595336846980393
2.0,2284,20.0,2,617.5,23.300000190734863,32.15000057220459,20.913632387816666,7.459100499970722,-1.362737382458418,-1.6399673545927018,-1.6483524693635774,26.502101543548534,46.1502068290791,49.53154441752791
2.0,2284,30.0,16,712.5625,40.42500019073486,25.756250202655792,21.74732568678979,4.468817459374572,-0.5076613483426994,-1.5283879788001928,-1.4213630603206973,3.475968091994102,36.88704045228944,27.825733443507822
2.0,2284,40.0,7,788.0,18.74285752432687,9.128571305956159,9.410933910618818,6.197830873404298,-0.37304002806944575,-1.2156938862935642,-1.0670226695744536,3.0485916029686697,23.021484512837635,13.236773663079296
2.0,2284,50.0,17,901.4117647058823,8.464705803815056,4.594117669498219,6.260385194062185,10.462020194956054,-0.6406604790616869,-0.8453827148294079,-0.9480384008541378,8.948170632316016,8.060301153049707,9.193782119683519
2.0,2284,60.0,51,688.8627450980392,6.421568636800728,3.749019590078616,3.1442192481607814,9.019878903434627,-0.5960257654067219,-0.704309067324635,-0.8241035007685014,5.280391647323984,5.253021776408211,6.733270103908725
2.0,2284,70.0,33,489.6060606060606,3.9151514876972544,1.40303031242255,0.532560891568955,6.588463147981074,-0.7223415161953288,-1.0688842090733608,-1.166022314636966,6.894120473330411,12.019239123529234,15.031195081554067
2.0,2284,80.0,27,419.962962962963,7.681481414371067,10.251851770612928,3.2020388181777926,8.187131108341816,-0.7378182828560085,-1.2476895970845285,-1.4771488755393756,6.381189704729599,22.820606336092645,32.374380670508316
2.0,2284,90.0,12,404.5833333333333,9.083333333333334,10.641666769981384,3.147202299317291,6.833785164525348,-1.1591052435222375,-1.4204951765114133,-1.4851102359638775,17.25576221370549,28.408770800212963,32.31031367430805
2.0,2284,100.0,18,436.44444444444446,11.833333333333334,6.39444445239173,2.1216743209769446,4.1692259337625295,-2.492112107244129,-2.1119982087581013,-1.4539482771979213,346.96660855731403,132.6938345328726,28.679756051500792
2.0,2284,110.0,26,399.84615384615387,6.630769234437209,5.480769184919504,1.4471351803173333,6.672693770307897,-1.6358163532915062,-1.485762593328384,-1.2539250787696175,64.83279188645234,31.460827836429296,18.306631036371687
2.0,2284,120.0,20,388.5,7.990000009536743,6.389999997615814,1.6381040381761314,5.91113555391559,-1.2537086526560928,-1.3724269326848717,-1.0892833172891518,23.262651035651835,26.35741044144582,12.483553217573183
2.0,2284,130.0,22,374.59090909090907,5.672727303071455,6.386363679712469,1.5414431587244373,8.322280862282371,-1.415017200337774,-1.4039212027347057,-1.2172431123628649,40.38079249777339,27.064610329241212,16.93108950503483
2.0,2284,140.0,11,373.45454545454544,5.954545497894287,4.7727273160761055,1.1197192526120268,6.309184562515505,-1.2589439099114568,-1.437723428293333,-1.3051727373942041,20.44806358154021,33.796811143493244,21.163003996976997
2.0,2284,150.0,27,379.44444444444446,6.448148197597927,4.296296269805343,1.0365224924510301,5.603350419241404,-0.7725515954943601,-1.4005007787515011,-1.2076993492060808,7.094850558762719,29.852648286088236,17.09778876010942
2.0,2284,160.0,15,372.8,6.399999936421712,6.246666733423869,1.4593014447136379,7.03920786454664,-0.9149209428064361,-1.2158787920516485,-0.9755027681612167,9.235923754778785,17.234795846512295,9.551649377603018
2.0,2284,170.0,17,367.7647058823529,7.288235299727496,7.405882330501781,1.6779898200327787,6.263979869344629,-0.8502799689221249,-1.251314523193907,-1.10989354713966,7.590290437878125,20.718942942989607,13.22924494041205
2.0,2284,180.0,20,375.0,7.8399999141693115,5.555000030994416,1.3165383995760742,5.195681928907588,-0.8498453038479432,-1.3763564013563467,-1.0975191141420724,10.579599816407589,25.143284797042067,12.588152532794513
2.0,2284,190.0,15,372.26666666666665,7.7,4.953333314259847,1.171719230395226,4.911044437314061,-0.4837784785025081,-1.3583353561974247,-1.2922141408100045,3.3136876903060637,24.41315603810452,20.07779022598569
2.0,2284,200.0,18,369.94444444444446,6.016666677263048,4.0277777380413475,0.9356361034588097,5.689205752263502,-0.3848989644486206,-1.4189805587860274,-1.3123251341989244,2.8413612222969453,28.60737752235832,21.738406028153616
2.0,2284,210.0,19,369.6842105263158,6.152631508676629,3.4210526441272937,0.7931755598625019,5.324474845352585,-0.7478433720301273,-1.6479646704819568,-1.5078795311142585,10.127155047261592,47.49716074963984,33.344993730703116
2.0,2284,220.0,22,370.0,5.586363651535728,7.309090971946716,1.7283866524068472,8.841789702611212,-1.5969507399392382,-1.7878309645188883,-1.572901819054089,43.40085168311141,66.218039302892,38.574960067111604
2.0,2284,230.0,30,337.1666666666667,5.203333338101705,9.073333247502644,1.7224336391744426,9.580149071873933,-1.0314961868440624,-1.4339818084926266,-1.2319528057205562,13.617314594193576,28.305083358855462,17.288340101404675
2.0,2284,240.0,12,339.0,9.400000055631002,11.491666793823242,2.199032879512428,5.6430221426408975,-0.7505738389945852,-1.2054542993856898,-1.1098540159669852,8.64304434498429,16.587721026689486,12.933751647745536
2.0,2284,250.0,18,340.3333333333333,7.838888896836175,6.388888902134365,1.2304707726094495,5.529240345043955,-0.5141681104008353,-1.407689498874521,-1.0715099087010183,4.444355669681889,26.968165668238424,12.109230187769656
2.0,2284,260.0,13,352.9230769230769,6.761538450534527,11.738461604485146,2.4425214286762644,9.765417243894033,-0.6825250877862776,-1.3853594517182257,-1.1023380606962416,5.091304410409233,30.51157655420891,13.947269169220432
2.0,2284,270.0,21,353.2857142857143,5.785714285714286,9.076190539768763,1.9621635206067827,8.070189243334452,-0.8060303604171402,-1.6032648962082288,-1.2719385732551283,7.528924469910901,43.047479866925876,19.46843726453854
2.0,2284,280.0,25,337.8,3.831999969482422,5.74,1.0909841860848548,10.0068076332697,-1.2149853165264815,-1.9677054101246787,-1.5023797244633843,19.31909959562954,100.92667819152983,32.674741873109994
2.0,2284,290.0,2,372.5,13.150000095367432,17.649999856948856,4.1315080428059385,5.419391196971718,-0.45854924273427516,-0.843481344532589,-1.0554631438236746,2.874413492196447,6.9739903890385735,11.362218686951291
2.0,2284,300.0,6,379.3333333333333,14.699999968210856,9.766666889190676,2.358258504016917,3.691350985454747,-0.5319672514604578,-1.1690633956145884,-1.1279824494275505,3.4069902907660423,18.416149997119927,14.89711949956886
2.0,2284,310.0,5,459.4,13.65999984741211,8.779999923706054,3.119440189211561,4.666773538555464,-0.663150504922613,-0.9884835984808642,-1.010671200127975,5.35333413404431,10.035071137705668,10.378087225834898
2.0,2284,320.0,12,503.75,7.774999936421712,6.558333337306976,2.7100105138006025,7.7845541182966995,-1.2779961274731468,-1.1056362425176391,-1.1496187072054675,45.233629062528685,14.485886759904483,14.56167398166366
2.0,2284,330.0,19,517.6315789473684,4.8894737394232495,2.7631579198335348,1.2468665749068704,8.05357387437409,-1.0830820483082217,-1.499760805070581,-1.3409198048215334,14.262220227162707,37.26473459957907,22.438482235391223
2.0,2284,340.0,28,483.10714285714283,3.582142812865121,2.732142857142857,1.067103238310071,10.38069766051864,-1.0552704666302504,-2.120620579220643,-1.6385005619103234,12.160865690029441,137.84899823789286,45.00120813885017
2.0,2284,350.0,25,433.4,3.9960000038146974,4.104000024795532,1.2673943386599889,10.595347636237184,-0.7818671349723973,-2.0379105686438357,-1.609073885146938,7.5329564069073935,112.90780780563693,41.55123650388307
