cr,rss,lon_deg,equator_signed_br,equator_abs_br,midlat_signed_br,midlat_abs_br,global_signed_br,global_abs_br,equator_polarity,global_polarity,lon_bin,photo_equator_abs_br,photo_midlat_abs_br,photo_global_abs_br,photo_equator_signed_br,photo_midlat_signed_br,photo_global_signed_br,hmi_file,radial_expansion_proxy_equator,log_radial_expansion_proxy_equator,expansion_speed_proxy_equator,radial_expansion_proxy_midlat,log_radial_expansion_proxy_midlat,expansion_speed_proxy_midlat,radial_expansion_proxy_global,log_radial_expansion_proxy_global,expansion_speed_proxy_global
2281,2.0,0.0,0.1478699184456476,0.1478699184456476,0.1587940494304142,0.1640099456105014,0.1352475046913444,0.1387510847837813,1.0,1.0,0,2.4675000000000002,6.876875000000003,4.844444444444442,1.3975000000000002,-3.621875000000002,-1.366666666666667,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,4.171740990218671,0.6203173366646855,-0.6203173366646855,10.482405463891093,1.020460954386307,-1.020460954386307,8.728660485778619,0.9409476012920361,-0.9409476012920361
2281,2.0,1.0,0.159207863156531,0.159207863156531,0.1684097346263188,0.1689888941083426,0.1413702698315552,0.1424731538601129,1.0,1.0,1,3.5424999999999995,11.133125000000001,7.0443055555555585,-2.3575,6.461875000000002,-0.6090277777777774,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,5.562696354571793,0.7452853541825984,-0.7452853541825984,16.470202167342286,1.2166989300514977,-1.2166989300514977,12.360759491700454,1.0920451562642008,-1.0920451562642008
2281,2.0,2.0,0.1711028055194564,0.1711028055194564,0.1784818316814983,0.1784818316814983,0.1477390372672998,0.1485390320192868,1.0,1.0,2,5.275,10.568750000000003,6.011249999999998,4.135,-1.7950000000000017,-1.0629166666666656,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,7.70735462809254,0.8869053420508156,-0.8869053420508156,14.803677635463744,1.1703696193396118,-1.1703696193396118,10.117290247353095,1.005064209321435,-1.005064209321435
2281,2.0,3.0,0.1835357640802056,0.1835357640802056,0.1889954387958173,0.1889954387958173,0.1543452427652052,0.1551325744770202,1.0,1.0,3,2.3275,9.851875,6.011388888888889,0.8825000000000001,-6.369374999999998,-2.0322222222222215,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,3.1703630238830134,0.5011089941554245,-0.5011089941554245,13.031895191189706,1.1150075785080187,-1.1150075785080187,9.687502623408337,0.9862118331227909,-0.9862118331227909
2281,2.0,4.0,0.1964827332835959,0.1964827332835959,0.1999314977034804,0.1999314977034804,0.1611778702577233,0.1619531861634305,1.0,1.0,4,3.3549999999999995,12.228750000000002,6.420416666666666,-1.6749999999999994,-5.207500000000001,-2.951250000000002,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,4.2688229443010615,0.6303081421762426,-0.6303081421762426,15.29117490298669,1.184440855868868,-1.184440855868868,9.910914411075067,0.996113725662229,-0.996113725662229
2281,2.0,5.0,0.2099143535673376,0.2099143535673376,0.2112665423386265,0.2112665423386265,0.1682233154937234,0.1689872631320859,1.0,1.0,5,1.8024999999999998,3.0668749999999996,5.129166666666665,1.0925,-1.0093750000000004,-2.8783333333333334,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,2.146708847403547,0.33177314618733666,-0.33177314618733666,3.629153681944926,0.5598053594398673,-0.5598053594398673,7.588096539940916,0.880132847585222,-0.880132847585222
2281,2.0,6.0,0.2237956301905527,0.2237956301905527,0.2229724862398767,0.2229724862398767,0.1754652719927358,0.1762184987826071,1.0,1.0,6,1.85,7.575,6.3093055555555555,-0.5549999999999999,-5.786250000000002,-3.4837499999999997,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,2.0666176529282563,0.31526013478735726,-0.31526013478735726,8.493200358194326,0.9290713693964148,-0.9290713693964148,8.950969391895491,0.9518700720480808,-0.9518700720480808
2281,2.0,7.0,0.2380857172507013,0.2380857172507013,0.2350164608541629,0.2350164608541629,0.1828846457847817,0.1836277986093318,1.0,1.0,7,2.2175000000000002,9.64625,8.095000000000002,0.6175,-0.7987500000000006,-1.8741666666666668,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,2.328468109728103,0.3670702942919613,-0.3670702942919613,10.261249323707887,1.0112002400507927,-1.0112002400507927,11.020934822104628,1.0422184339769889,-1.0422184339769889
2281,2.0,8.0,0.2527377823435468,0.2527377823435468,0.2473607160142931,0.2473607160142931,0.1904595049236441,0.1911932297246456,1.0,1.0,8,3.585,9.95625,8.819444444444448,-0.31000000000000005,-1.4725000000000001,-2.675277777777779,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,3.5461654830132447,0.5497589982368658,-0.5497589982368658,10.062480979624008,1.0027050724614262,-1.0027050724614262,11.532108716854298,1.0619087279675883,-1.0619087279675883
2281,2.0,9.0,0.267698965696637,0.267698965696637,0.2599625925397453,0.2599625925397453,0.1981650690529942,0.1988900104355754,1.0,1.0,9,4.34,3.5324999999999998,7.234305555555555,-2.25,-0.27250000000000024,-2.8670833333333325,/Users/sssuriset/Desktop/astro_project/psp-solar-wind-variability/data/raw/magnetograms/hmi/hmi_cr2281_resampled_180x360.fits,4.053060112415782,0.6077830449696401,-0.6077830449696401,3.3971233759910295,0.5311113197693835,-0.5311113197693835,9.093349560030942,0.9587238862456011,-0.9587238862456011
