rss,cr,ballistic_phase10_deg,n,bmag_mean,br_rtn_mean,bt_rtn_mean,bn_rtn_mean,btan_rtn_mean,rtn_spiral_angle_mean_deg,pfss_equator_signed_mean,pfss_global_signed_mean,omni_rtn_radial_polarity,pfss_equator_polarity,pfss_global_polarity
2.0,2281,0.0,12,5.225000063578288,2.3166666800777116,-0.9583333333333334,-3.166666646798452,3.5855883528515733,-3.328705916560615,0.19143401949180308,0.15828889291826617,1.0,1.0,1.0
2.0,2281,10.0,22,7.6954544674266465,3.3272727372294124,-2.02272722937844,-1.7454544996673411,5.861185074416776,7.09868234592073,0.3319954164296367,0.23100685848267596,1.0,1.0,1.0
2.0,2281,20.0,4,7.8500001430511475,3.800000011920929,-5.050000071525574,2.9749999884516,6.32880663049562,-53.42638117544325,0.4854925741174191,0.3090309744022236,1.0,1.0,1.0
2.0,2281,30.0,22,6.731818199157715,3.663636402650313,-4.518181790005077,-0.7318181788379495,4.846027134850709,-51.06348551161525,0.5066504693136117,0.3191421294135282,1.0,1.0,1.0
2.0,2281,40.0,11,6.0545454892245205,0.9727272662249479,-4.481818264180964,-2.0999999859116296,5.2886179436319285,-79.16769471061694,0.4446258861381121,0.2847845601182394,1.0,1.0,1.0
2.0,2281,50.0,22,4.768181865865534,1.0454545464705338,-1.7772727310657501,1.0272727253084832,3.8991878780672864,-14.0539642336493,0.2514616139386445,0.17544208395710997,1.0,1.0,1.0
2.0,2281,60.0,16,5.106250032782555,-1.6750000081956387,1.8937500044703484,-0.16874999273568395,3.7646037966203143,81.42224295100407,0.07923463089967932,0.07613678585536617,-1.0,1.0,1.0
2.0,2281,70.0,5,5.060000038146972,-1.540000057220459,2.4200000286102297,-0.9000000119209289,3.623606692041301,101.23532558915636,-0.06032695494480145,-0.006508484164654179,-1.0,-1.0,-1.0
2.0,2281,80.0,11,8.74545448476618,-3.8363637057217685,4.890909043225375,1.599999982525002,6.374155669678416,95.45966688747544,-0.19943651254601819,-0.09616752526552301,-1.0,-1.0,-1.0
2.0,2281,90.0,19,10.1736841954683,-3.615789443254471,3.8263157292416223,3.342105272177019,7.572643890119659,39.11660922036422,-0.25586666970813543,-0.14045000410307149,-1.0,-1.0,-1.0
