cr,rss,nlon,nlat,finite_fraction,equator_abs_mean,equator_abs_std_by_lon,equator_abs_min,equator_abs_max,equator_abs_range,global_abs_mean,global_abs_std_by_lon,global_abs_min,global_abs_max,global_abs_range
2281,2.5,360,180,1.0,0.07012386632069816,0.05254680042715752,0.0025217913292913865,0.20658514889238963,0.20406335756309824,0.06266966153676984,0.031705638571233714,0.011324935261299464,0.13867907697644316,0.1273541417151437
2283,2.5,360,180,1.0,0.05680682473164575,0.041475087956101254,0.005597411113837621,0.14322348384438918,0.13762607273055155,0.057548422000976734,0.02880530377563787,0.011910386599441849,0.10445291138382262,0.09254252478438077
2284,2.5,360,180,1.0,0.06284818530191172,0.04433974021723641,0.015551778653409416,0.18255344483105423,0.1670016661776448,0.06034257102580987,0.021134256000630073,0.024808731695374363,0.10519340729858528,0.08038467560321091
2286,2.5,360,180,1.0,0.07933385797025166,0.04662369295105377,0.003366854261747488,0.17803417881800848,0.174667324556261,0.06981383129309784,0.02603906084773249,0.01010134510513828,0.1172930137786352,0.10719166867349691
2287,2.5,360,180,1.0,0.08755714731555109,0.0578169541627492,0.003102263211400256,0.24197273410465395,0.2388704708932537,0.07800133322432752,0.035397731070508844,0.02435037266036377,0.1584501597436647,0.13409978708330092
2290,2.5,360,180,1.0,0.1264743108053984,0.0770012095732607,0.009476277806916112,0.3001208222875507,0.2906445444806346,0.09147724440027677,0.042742399066712435,0.021984625951880724,0.17914693850651517,0.15716231255463445
