cr,x,y,method,r,n
2283,pfss_midlat_abs_mean,density_mean,pearson,-0.414942173102009,36
2283,pfss_midlat_abs_mean,density_mean,spearman,-0.5109395109395111,36
2283,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.4484171927708625,36
2283,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.50990990990991,36
2283,pfss_midlat_abs_mean,ma_mean,pearson,-0.43014620197037007,36
2283,pfss_midlat_abs_mean,ma_mean,spearman,-0.42754182754182757,36
2283,pfss_global_abs_mean,speed_mean,pearson,0.17664721359061453,36
2283,pfss_global_abs_mean,speed_mean,spearman,0.16782496782496784,36
2283,pfss_global_abs_mean,bmag_mean,pearson,-0.06397139125203272,36
2283,pfss_global_abs_mean,bmag_mean,spearman,0.050450450450450456,36
2283,pfss_global_abs_mean,density_mean,pearson,-0.4886556061292998,36
2283,pfss_global_abs_mean,density_mean,spearman,-0.5781209781209781,36
2283,pfss_global_abs_mean,pdyn_mean,pearson,-0.5238670170297781,36
2283,pfss_global_abs_mean,pdyn_mean,spearman,-0.5703989703989704,36
2283,pfss_global_abs_mean,ma_mean,pearson,-0.4974792302682715,36
2283,pfss_global_abs_mean,ma_mean,spearman,-0.48365508365508364,36
2284,pfss_equator_abs_mean,speed_mean,pearson,0.14939200510142306,36
2284,pfss_equator_abs_mean,speed_mean,spearman,0.05173745173745174,36
2284,pfss_equator_abs_mean,bmag_mean,pearson,0.3188962833955413,36
2284,pfss_equator_abs_mean,bmag_mean,spearman,0.12406692406692407,36
2284,pfss_equator_abs_mean,density_mean,pearson,0.2098499280402482,36
2284,pfss_equator_abs_mean,density_mean,spearman,0.04761904761904762,36
2284,pfss_equator_abs_mean,pdyn_mean,pearson,0.3684130046441085,36
2284,pfss_equator_abs_mean,pdyn_mean,spearman,-0.009266409266409266,36
2284,pfss_equator_abs_mean,ma_mean,pearson,0.33476848435217754,36
2284,pfss_equator_abs_mean,ma_mean,spearman,0.04041184041184042,36
2284,pfss_midlat_abs_mean,speed_mean,pearson,0.05347831252399478,36
2284,pfss_midlat_abs_mean,speed_mean,spearman,0.005405405405405406,36
2284,pfss_midlat_abs_mean,bmag_mean,pearson,0.3434718494069701,36
2284,pfss_midlat_abs_mean,bmag_mean,spearman,0.2205920205920206,36
2284,pfss_midlat_abs_mean,density_mean,pearson,0.29021264600466584,36
2284,pfss_midlat_abs_mean,density_mean,spearman,0.17606177606177606,36
2284,pfss_midlat_abs_mean,pdyn_mean,pearson,0.36069394458582904,36
2284,pfss_midlat_abs_mean,pdyn_mean,spearman,0.029601029601029602,36
2284,pfss_midlat_abs_mean,ma_mean,pearson,0.3012865716019272,36
2284,pfss_midlat_abs_mean,ma_mean,spearman,-0.04710424710424711,36
2284,pfss_global_abs_mean,speed_mean,pearson,-0.16217281761894248,36
2284,pfss_global_abs_mean,speed_mean,spearman,-0.020077220077220077,36
2284,pfss_global_abs_mean,bmag_mean,pearson,0.28553517815757,36
2284,pfss_global_abs_mean,bmag_mean,spearman,0.287001287001287,36
2284,pfss_global_abs_mean,density_mean,pearson,0.2858239566436036,36
2284,pfss_global_abs_mean,density_mean,spearman,0.25148005148005154,36
2284,pfss_global_abs_mean,pdyn_mean,pearson,0.20624178107274602,36
2284,pfss_global_abs_mean,pdyn_mean,spearman,0.05302445302445303,36
2284,pfss_global_abs_mean,ma_mean,pearson,0.04155284769726009,36
2284,pfss_global_abs_mean,ma_mean,spearman,-0.13616473616473618,36
2286,pfss_equator_abs_mean,speed_mean,pearson,-0.23394280952863264,36
2286,pfss_equator_abs_mean,speed_mean,spearman,-0.11248391248391248,36
2286,pfss_equator_abs_mean,bmag_mean,pearson,-0.14031348322247456,36
2286,pfss_equator_abs_mean,bmag_mean,spearman,-0.1590733590733591,36
2286,pfss_equator_abs_mean,density_mean,pearson,0.14508903702062376,36
2286,pfss_equator_abs_mean,density_mean,spearman,0.06357786357786357,36
2286,pfss_equator_abs_mean,pdyn_mean,pearson,0.017311542271765082,36
2286,pfss_equator_abs_mean,pdyn_mean,spearman,-0.028056628056628057,36
2286,pfss_equator_abs_mean,ma_mean,pearson,0.09158114938148972,36
2286,pfss_equator_abs_mean,ma_mean,spearman,0.0900900900900901,36
2286,pfss_midlat_abs_mean,speed_mean,pearson,-0.20153944642551003,36
2286,pfss_midlat_abs_mean,speed_mean,spearman,-0.050965250965250966,36
2286,pfss_midlat_abs_mean,bmag_mean,pearson,-0.24038071167207928,36
2286,pfss_midlat_abs_mean,bmag_mean,spearman,-0.25070785070785073,36
2286,pfss_midlat_abs_mean,density_mean,pearson,0.1044130318036098,36
2286,pfss_midlat_abs_mean,density_mean,spearman,0.07953667953667955,36
2286,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.007827132040170093,36
2286,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.02908622908622909,36
2286,pfss_midlat_abs_mean,ma_mean,pearson,0.1716134791946593,36
2286,pfss_midlat_abs_mean,ma_mean,spearman,0.1927927927927928,36
2286,pfss_global_abs_mean,speed_mean,pearson,-0.17641901814509636,36
2286,pfss_global_abs_mean,speed_mean,spearman,0.06846846846846848,36
2286,pfss_global_abs_mean,bmag_mean,pearson,-0.3518622685757477,36
2286,pfss_global_abs_mean,bmag_mean,spearman,-0.3701415701415702,36
2286,pfss_global_abs_mean,density_mean,pearson,0.0170751025605122,36
2286,pfss_global_abs_mean,density_mean,spearman,0.018532818532818532,36
2286,pfss_global_abs_mean,pdyn_mean,pearson,-0.049553136725293774,36
2286,pfss_global_abs_mean,pdyn_mean,spearman,-0.08545688545688547,36
2286,pfss_global_abs_mean,ma_mean,pearson,0.24719600847934686,36
2286,pfss_global_abs_mean,ma_mean,spearman,0.31093951093951094,36
2287,pfss_equator_abs_mean,speed_mean,pearson,0.05016580062277514,36
2287,pfss_equator_abs_mean,speed_mean,spearman,0.15341055341055343,36
2287,pfss_equator_abs_mean,bmag_mean,pearson,0.003380485020525206,36
2287,pfss_equator_abs_mean,bmag_mean,spearman,0.0731016731016731,36
2287,pfss_equator_abs_mean,density_mean,pearson,-0.14448211587298354,36
2287,pfss_equator_abs_mean,density_mean,spearman,0.01776061776061776,36
2287,pfss_equator_abs_mean,pdyn_mean,pearson,-0.11129677144677497,36
2287,pfss_equator_abs_mean,pdyn_mean,spearman,0.030373230373230378,36
2287,pfss_equator_abs_mean,ma_mean,pearson,-0.00846686919150167,36
2287,pfss_equator_abs_mean,ma_mean,spearman,-0.0015444015444015446,36
2287,pfss_midlat_abs_mean,speed_mean,pearson,0.11737486849685554,36
2287,pfss_midlat_abs_mean,speed_mean,spearman,0.2007722007722008,36
2287,pfss_midlat_abs_mean,bmag_mean,pearson,0.03576401604591757,36
