x,y,method,obs_r,obs_n,null_runs,null_abs_mean,null_abs_p95,p_two_sided_abs,abs_percentile
pfss_equator_abs_mean,speed_mean,pearson,0.0631652022846627,214,2000,0.07548895177206416,0.18860746569887357,0.495752123938031,50.45
pfss_equator_abs_mean,speed_mean,spearman,-0.0377419829816546,214,2000,0.08402781608516335,0.2026357123550655,0.728135932033983,27.2
pfss_equator_abs_mean,bmag_mean,pearson,0.2015250870141506,214,2000,0.06227776058154606,0.15744385498781335,0.013493253373313344,98.7
pfss_equator_abs_mean,bmag_mean,spearman,0.209600549054119,214,2000,0.07929730073906555,0.1872032372641789,0.02448775612193903,97.6
pfss_equator_abs_mean,density_mean,pearson,0.170685834767034,214,2000,0.09138947203100514,0.20853807766675325,0.12443778110944528,87.6
pfss_equator_abs_mean,density_mean,spearman,0.1879989347080089,214,2000,0.09656977142139951,0.22890192272959642,0.11544227886056972,88.5
pfss_equator_abs_mean,pdyn_mean,pearson,0.1369972597464794,214,2000,0.06283190005436987,0.1635261857843646,0.08945527236381809,91.1
pfss_equator_abs_mean,pdyn_mean,spearman,0.1787137517563542,214,2000,0.0919050279945266,0.20890467779509042,0.11944027986006997,88.1
pfss_equator_abs_mean,ma_mean,pearson,-0.0939117509301263,214,2000,0.07240567251823095,0.16351880772174757,0.31784107946026985,68.25
pfss_equator_abs_mean,ma_mean,spearman,-0.1356147316413149,214,2000,0.06302184032252632,0.1565272093329374,0.0944527736131934,90.6
pfss_midlat_abs_mean,speed_mean,pearson,0.0386018037256113,214,2000,0.07297724329983749,0.18051232383432161,0.6736631684157921,32.65
pfss_midlat_abs_mean,speed_mean,spearman,-0.0729156303274522,214,2000,0.08522102533227419,0.20663836701616783,0.495752123938031,50.45
pfss_midlat_abs_mean,bmag_mean,pearson,0.1911202068610119,214,2000,0.06443713149782723,0.15939857446473693,0.014492753623188406,98.6
pfss_midlat_abs_mean,bmag_mean,spearman,0.2005529112020784,214,2000,0.07907211386138531,0.191027728518221,0.0384807596201899,96.2
pfss_midlat_abs_mean,density_mean,pearson,0.1645623029686613,214,2000,0.09282301054875125,0.21214105631890678,0.13843078460769614,86.2
pfss_midlat_abs_mean,density_mean,spearman,0.1857140670582941,214,2000,0.09906321589611566,0.2382384111231177,0.13343328335832083,86.7
pfss_midlat_abs_mean,pdyn_mean,pearson,0.1185250244487423,214,2000,0.06168853658176563,0.16228651143183417,0.127936031984008,87.25
pfss_midlat_abs_mean,pdyn_mean,spearman,0.1598556345681129,214,2000,0.09653767123497341,0.22816791205830939,0.1854072963518241,81.5
pfss_midlat_abs_mean,ma_mean,pearson,-0.0929180733923881,214,2000,0.0736957897002387,0.1641320139625531,0.33483258370814595,66.55
pfss_midlat_abs_mean,ma_mean,spearman,-0.1367143088918208,214,2000,0.06903694665274847,0.1634041589244224,0.11144427786106946,88.9
pfss_global_abs_mean,speed_mean,pearson,-0.0330718857659966,214,2000,0.06915604467604798,0.17004706850076207,0.7011494252873564,29.9
pfss_global_abs_mean,speed_mean,spearman,-0.1219601268188937,214,2000,0.09051428640527746,0.22193263736242816,0.2843578210894553,71.6
pfss_global_abs_mean,bmag_mean,pearson,0.1659013405941499,214,2000,0.06656582290900974,0.16264910047814718,0.043478260869565216,95.7
pfss_global_abs_mean,bmag_mean,spearman,0.1688145469951641,214,2000,0.07749674550136294,0.1912293993741191,0.0814592703648176,91.9
pfss_global_abs_mean,density_mean,pearson,0.1275542307882261,214,2000,0.09503053391758592,0.2176602800781419,0.28835582208895555,71.2
pfss_global_abs_mean,density_mean,spearman,0.1284185005709107,214,2000,0.10123342384233677,0.23798249615056127,0.31384307846076964,68.65
pfss_global_abs_mean,pdyn_mean,pearson,0.053207545067399,214,2000,0.05794821381744662,0.1388760567221214,0.4672663668165917,53.3
pfss_global_abs_mean,pdyn_mean,spearman,0.0761898056454353,214,2000,0.09320201548346807,0.22299438884994377,0.5157421289355323,48.45
pfss_global_abs_mean,ma_mean,pearson,-0.1290319371379134,214,2000,0.0747601535981983,0.1709935071838849,0.16441779110444776,83.6
pfss_global_abs_mean,ma_mean,spearman,-0.1724970995282715,214,2000,0.07513794368033894,0.17691365318623323,0.05997001499250375,94.05
