scan_shift_deg,cr,x,y,method,r,n
0.0,all,pfss_equator_abs_mean,speed_mean,pearson,0.04739303819975097,216
0.0,all,pfss_equator_abs_mean,speed_mean,spearman,0.015421130956374072,216
0.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.08632174359631992,216
0.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.029070362828802435,216
0.0,all,pfss_equator_abs_mean,density_mean,pearson,0.04907158972795246,216
0.0,all,pfss_equator_abs_mean,density_mean,spearman,0.04006954119482251,216
0.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.09455375238937984,216
0.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.047541647316591044,216
0.0,all,pfss_equator_abs_mean,ma_mean,pearson,0.05243112428348242,216
0.0,all,pfss_equator_abs_mean,ma_mean,spearman,0.016967337072363326,216
0.0,all,pfss_midlat_abs_mean,speed_mean,pearson,0.039571401068142505,216
0.0,all,pfss_midlat_abs_mean,speed_mean,spearman,0.036194795301335576,216
0.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.08113935011890876,216
0.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.028363043141737813,216
0.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.04900819653269108,216
0.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.0463592088498315,216
0.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.08814682850405454,216
0.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.060954524345372046,216
0.0,all,pfss_midlat_abs_mean,ma_mean,pearson,0.05455871990873528,216
0.0,all,pfss_midlat_abs_mean,ma_mean,spearman,0.023490396408625963,216
0.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.004473749976077981,216
0.0,all,pfss_global_abs_mean,speed_mean,spearman,0.03800775015876034,216
0.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.05382563705523708,216
0.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.02458114528632158,216
0.0,all,pfss_global_abs_mean,density_mean,pearson,0.04796240043521649,216
0.0,all,pfss_global_abs_mean,density_mean,spearman,0.06481739482489669,216
0.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.05505606817920617,216
0.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.08030817228116552,216
