x,y,method,phase_r,ballistic_r,best_fixed_r,best_fixed_shift_deg,best_fixed_abs_r,ballistic_abs_minus_phase_abs,ballistic_abs_minus_best_fixed_abs,ballistic_null_p,ballistic_abs_percentile
pfss_equator_abs_mean,speed_mean,pearson,,0.0631652022846627,-0.0795312512501149,75.0,0.0795312512501149,,-0.0163660489654522,0.495752123938031,50.45
pfss_equator_abs_mean,speed_mean,spearman,,-0.0377419829816546,0.1542800995559781,115.0,0.1542800995559781,,-0.1165381165743235,0.728135932033983,27.2
pfss_equator_abs_mean,bmag_mean,pearson,,0.2015250870141506,0.101326002721787,70.0,0.101326002721787,,0.10019908429236359,0.013493253373313344,98.7
pfss_equator_abs_mean,bmag_mean,spearman,,0.209600549054119,0.1705366817894949,50.0,0.1705366817894949,,0.0390638672646241,0.02448775612193903,97.6
pfss_equator_abs_mean,density_mean,pearson,,0.170685834767034,0.2373381591277948,40.0,0.2373381591277948,,-0.0666523243607608,0.12443778110944528,87.6
pfss_equator_abs_mean,density_mean,spearman,,0.1879989347080089,0.2311161123614236,30.0,0.2311161123614236,,-0.04311717765341469,0.11544227886056972,88.5
pfss_equator_abs_mean,pdyn_mean,pearson,,0.1369972597464794,0.1967052987148713,30.0,0.1967052987148713,,-0.05970803896839191,0.08945527236381809,91.1
pfss_equator_abs_mean,pdyn_mean,spearman,,0.1787137517563542,0.2035770847473773,40.0,0.2035770847473773,,-0.024863332991023085,0.11944027986006997,88.1
pfss_equator_abs_mean,ma_mean,pearson,,-0.0939117509301263,-0.1361763490271657,90.0,0.1361763490271657,,-0.04226459809703939,0.31784107946026985,68.25
pfss_equator_abs_mean,ma_mean,spearman,,-0.1356147316413149,-0.1251298026998961,75.0,0.1251298026998961,,0.010484928941418808,0.0944527736131934,90.6
pfss_midlat_abs_mean,speed_mean,pearson,,0.0386018037256113,-0.0841379543523404,70.0,0.0841379543523404,,-0.0455361506267291,0.6736631684157921,32.65
pfss_midlat_abs_mean,speed_mean,spearman,,-0.0729156303274522,0.1778386660701593,110.0,0.1778386660701593,,-0.1049230357427071,0.495752123938031,50.45
pfss_midlat_abs_mean,bmag_mean,pearson,,0.1911202068610119,0.1158430630475325,80.0,0.1158430630475325,,0.07527714381347939,0.014492753623188406,98.6
pfss_midlat_abs_mean,bmag_mean,spearman,,0.2005529112020784,0.1712487645720954,90.0,0.1712487645720954,,0.029304146629983013,0.0384807596201899,96.2
pfss_midlat_abs_mean,density_mean,pearson,,0.1645623029686613,0.2186596967787096,40.0,0.2186596967787096,,-0.0540973938100483,0.13843078460769614,86.2
pfss_midlat_abs_mean,density_mean,spearman,,0.1857140670582941,0.1963562319151216,30.0,0.1963562319151216,,-0.010642164856827507,0.13343328335832083,86.7
pfss_midlat_abs_mean,pdyn_mean,pearson,,0.1185250244487423,0.1687032504635635,30.0,0.1687032504635635,,-0.05017822601482119,0.127936031984008,87.25
pfss_midlat_abs_mean,pdyn_mean,spearman,,0.1598556345681129,0.1629859845913859,40.0,0.1629859845913859,,-0.0031303500232730264,0.1854072963518241,81.5
pfss_midlat_abs_mean,ma_mean,pearson,,-0.0929180733923881,-0.1571188356571888,90.0,0.1571188356571888,,-0.06420076226480069,0.33483258370814595,66.55
pfss_midlat_abs_mean,ma_mean,spearman,,-0.1367143088918208,-0.1382262232224722,80.0,0.1382262232224722,,-0.0015119143306513982,0.11144427786106946,88.9
pfss_global_abs_mean,speed_mean,pearson,,-0.0330718857659966,-0.117185566026651,65.0,0.117185566026651,,-0.08411368026065441,0.7011494252873564,29.9
pfss_global_abs_mean,speed_mean,spearman,,-0.1219601268188937,0.1823332221457891,115.0,0.1823332221457891,,-0.06037309532689539,0.2843578210894553,71.6
pfss_global_abs_mean,bmag_mean,pearson,,0.1659013405941499,0.1634203345104283,80.0,0.1634203345104283,,0.002481006083721593,0.043478260869565216,95.7
pfss_global_abs_mean,bmag_mean,spearman,,0.1688145469951641,0.2182509913192583,90.0,0.2182509913192583,,-0.04943644432409419,0.0814592703648176,91.9
pfss_global_abs_mean,density_mean,pearson,,0.1275542307882261,0.1690624627040012,40.0,0.1690624627040012,,-0.0415082319157751,0.28835582208895555,71.2
pfss_global_abs_mean,density_mean,spearman,,0.1284185005709107,0.1227997475559365,30.0,0.1227997475559365,,0.005618753014974193,0.31384307846076964,68.65
pfss_global_abs_mean,pdyn_mean,pearson,,0.053207545067399,0.0947714200473549,20.0,0.0947714200473549,,-0.04156387497995591,0.4672663668165917,53.3
pfss_global_abs_mean,pdyn_mean,spearman,,0.0761898056454353,0.0939639671822717,20.0,0.0939639671822717,,-0.01777416153683639,0.5157421289355323,48.45
pfss_global_abs_mean,ma_mean,pearson,,-0.1290319371379134,-0.2052079194138671,90.0,0.2052079194138671,,-0.07617598227595371,0.16441779110444776,83.6
pfss_global_abs_mean,ma_mean,spearman,,-0.1724970995282715,-0.2252670310434751,90.0,0.2252670310434751,,-0.052769931515203594,0.05997001499250375,94.05
