cr,x,y,method,r,n
all,pfss_equator_abs_mean,speed_mean,pearson,0.06316520228466278,214
all,pfss_equator_abs_mean,speed_mean,spearman,-0.03774198298165462,214
all,pfss_equator_abs_mean,bmag_mean,pearson,0.20152508701415064,214
all,pfss_equator_abs_mean,bmag_mean,spearman,0.209600549054119,214
all,pfss_equator_abs_mean,density_mean,pearson,0.17068583476703406,214
all,pfss_equator_abs_mean,density_mean,spearman,0.18799893470800896,214
all,pfss_equator_abs_mean,pdyn_mean,pearson,0.13699725974647947,214
all,pfss_equator_abs_mean,pdyn_mean,spearman,0.17871375175635423,214
all,pfss_equator_abs_mean,ma_mean,pearson,-0.09391175093012637,214
all,pfss_equator_abs_mean,ma_mean,spearman,-0.13561473164131496,214
all,pfss_midlat_abs_mean,speed_mean,pearson,0.03860180372561131,214
all,pfss_midlat_abs_mean,speed_mean,spearman,-0.0729156303274522,214
all,pfss_midlat_abs_mean,bmag_mean,pearson,0.1911202068610119,214
all,pfss_midlat_abs_mean,bmag_mean,spearman,0.20055291120207847,214
all,pfss_midlat_abs_mean,density_mean,pearson,0.1645623029686613,214
all,pfss_midlat_abs_mean,density_mean,spearman,0.1857140670582941,214
all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.11852502444874237,214
all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.1598556345681129,214
all,pfss_midlat_abs_mean,ma_mean,pearson,-0.09291807339238815,214
all,pfss_midlat_abs_mean,ma_mean,spearman,-0.13671430889182082,214
all,pfss_global_abs_mean,speed_mean,pearson,-0.03307188576599665,214
all,pfss_global_abs_mean,speed_mean,spearman,-0.12196012681889377,214
all,pfss_global_abs_mean,bmag_mean,pearson,0.16590134059414996,214
all,pfss_global_abs_mean,bmag_mean,spearman,0.16881454699516418,214
all,pfss_global_abs_mean,density_mean,pearson,0.12755423078822617,214
all,pfss_global_abs_mean,density_mean,spearman,0.12841850057091078,214
all,pfss_global_abs_mean,pdyn_mean,pearson,0.053207545067399026,214
all,pfss_global_abs_mean,pdyn_mean,spearman,0.0761898056454353,214
all,pfss_global_abs_mean,ma_mean,pearson,-0.12903193713791342,214
all,pfss_global_abs_mean,ma_mean,spearman,-0.17249709952827152,214
2281,pfss_equator_abs_mean,speed_mean,pearson,-0.4103452831595582,36
2281,pfss_equator_abs_mean,speed_mean,spearman,-0.3608751608751609,36
2281,pfss_equator_abs_mean,bmag_mean,pearson,0.034739411426261115,36
2281,pfss_equator_abs_mean,bmag_mean,spearman,0.23141772362741178,36
2281,pfss_equator_abs_mean,density_mean,pearson,-0.08278454981137026,36
2281,pfss_equator_abs_mean,density_mean,spearman,0.2725868725868726,36
2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.18134206101751063,36
2281,pfss_equator_abs_mean,pdyn_mean,spearman,0.13487773487773488,36
2281,pfss_equator_abs_mean,ma_mean,pearson,-0.20752574277069166,36
2281,pfss_equator_abs_mean,ma_mean,spearman,-0.21595881595881597,36
2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.4229629023684493,36
2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.3626769626769627,36
2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.02103424042888101,36
2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.17967694226021516,36
2281,pfss_midlat_abs_mean,density_mean,pearson,-0.05749576096190581,36
2281,pfss_midlat_abs_mean,density_mean,spearman,0.25868725868725867,36
2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.16208092708335495,36
2281,pfss_midlat_abs_mean,pdyn_mean,spearman,0.10270270270270271,36
2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.16756487104106005,36
2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.16344916344916346,36
2281,pfss_global_abs_mean,speed_mean,pearson,-0.4147585717104748,36
2281,pfss_global_abs_mean,speed_mean,spearman,-0.41621621621621624,36
2281,pfss_global_abs_mean,bmag_mean,pearson,0.031078478657758007,36
2281,pfss_global_abs_mean,bmag_mean,spearman,0.15110367493803198,36
2281,pfss_global_abs_mean,density_mean,pearson,0.01353407549958483,36
2281,pfss_global_abs_mean,density_mean,spearman,0.29806949806949806,36
2281,pfss_global_abs_mean,pdyn_mean,pearson,-0.09184663376777878,36
2281,pfss_global_abs_mean,pdyn_mean,spearman,0.09420849420849423,36
2281,pfss_global_abs_mean,ma_mean,pearson,-0.08975640036633481,36
2281,pfss_global_abs_mean,ma_mean,spearman,-0.09858429858429861,36
2283,pfss_equator_abs_mean,speed_mean,pearson,-0.20432751555966808,36
2283,pfss_equator_abs_mean,speed_mean,spearman,-0.17940797940797942,36
2283,pfss_equator_abs_mean,bmag_mean,pearson,0.18192134961790307,36
2283,pfss_equator_abs_mean,bmag_mean,spearman,0.17760617760617764,36
2283,pfss_equator_abs_mean,density_mean,pearson,0.4275752277726276,36
2283,pfss_equator_abs_mean,density_mean,spearman,0.4285714285714286,36
2283,pfss_equator_abs_mean,pdyn_mean,pearson,0.41579029113598154,36
2283,pfss_equator_abs_mean,pdyn_mean,spearman,0.41184041184041187,36
2283,pfss_equator_abs_mean,ma_mean,pearson,0.127125104961433,36
2283,pfss_equator_abs_mean,ma_mean,spearman,0.2046332046332047,36
2283,pfss_midlat_abs_mean,speed_mean,pearson,-0.22858548974640097,36
2283,pfss_midlat_abs_mean,speed_mean,spearman,-0.17940797940797942,36
2283,pfss_midlat_abs_mean,bmag_mean,pearson,0.17776589581791324,36
2283,pfss_midlat_abs_mean,bmag_mean,spearman,0.17889317889317893,36
2283,pfss_midlat_abs_mean,density_mean,pearson,0.35382364460329957,36
2283,pfss_midlat_abs_mean,density_mean,spearman,0.3335907335907336,36
2283,pfss_midlat_abs_mean,pdyn_mean,pearson,0.332028790351257,36
2283,pfss_midlat_abs_mean,pdyn_mean,spearman,0.312998712998713,36
2283,pfss_midlat_abs_mean,ma_mean,pearson,0.06469683910363405,36
2283,pfss_midlat_abs_mean,ma_mean,spearman,0.11608751608751611,36
2283,pfss_global_abs_mean,speed_mean,pearson,-0.18558206841180644,36
2283,pfss_global_abs_mean,speed_mean,spearman,-0.15469755469755472,36
