scan_shift_deg,cr,x,y,method,r,n
0.0,all,pfss_equator_abs_mean,speed_mean,pearson,-0.009544163802056667,216
0.0,all,pfss_equator_abs_mean,speed_mean,spearman,0.012798449134713603,216
0.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.012729864947193404,216
0.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.023533264268448064,216
0.0,all,pfss_equator_abs_mean,density_mean,pearson,-0.07950234060664717,216
0.0,all,pfss_equator_abs_mean,density_mean,spearman,-0.06689172293073269,216
0.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,-0.020152998351874424,216
0.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,-0.07931149454030173,216
0.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.03946899246928371,216
0.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.08115243096488407,216
0.0,all,pfss_midlat_abs_mean,speed_mean,pearson,-0.018443614980602364,216
0.0,all,pfss_midlat_abs_mean,speed_mean,spearman,0.04686711576745677,216
0.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.016069156272076102,216
0.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.0217471034425273,216
0.0,all,pfss_midlat_abs_mean,density_mean,pearson,-0.07183141161884654,216
0.0,all,pfss_midlat_abs_mean,density_mean,spearman,-0.05329308517605591,216
0.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.016071551205245085,216
0.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.05356339084771192,216
0.0,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.03954557225042474,216
0.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.06311816049250407,216
0.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.06734278793106742,216
0.0,all,pfss_global_abs_mean,speed_mean,spearman,0.03548033033289231,216
0.0,all,pfss_global_abs_mean,bmag_mean,pearson,-0.0018546507827909753,216
0.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.019107157741816403,216
0.0,all,pfss_global_abs_mean,density_mean,pearson,-0.06673568279647896,216
0.0,all,pfss_global_abs_mean,density_mean,spearman,-0.03770823658295525,216
0.0,all,pfss_global_abs_mean,pdyn_mean,pearson,-0.04724017495821766,216
0.0,all,pfss_global_abs_mean,pdyn_mean,spearman,-0.041299610616939944,216
0.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.05258239864337282,216
0.0,all,pfss_global_abs_mean,ma_mean,spearman,-0.05796925421831648,216
0.0,2281,pfss_equator_abs_mean,speed_mean,pearson,-0.18729009448623113,36
0.0,2281,pfss_equator_abs_mean,speed_mean,spearman,-0.3163449163449164,36
0.0,2281,pfss_equator_abs_mean,bmag_mean,pearson,0.07502925831669269,36
0.0,2281,pfss_equator_abs_mean,bmag_mean,spearman,0.20180180180180182,36
0.0,2281,pfss_equator_abs_mean,density_mean,pearson,-0.1196929063970806,36
0.0,2281,pfss_equator_abs_mean,density_mean,spearman,0.04942084942084943,36
0.0,2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.2281231631760373,36
0.0,2281,pfss_equator_abs_mean,pdyn_mean,spearman,-0.18970398970398972,36
0.0,2281,pfss_equator_abs_mean,ma_mean,pearson,-0.3705288206820146,36
0.0,2281,pfss_equator_abs_mean,ma_mean,spearman,-0.3595881595881596,36
0.0,2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.1776732358593871,36
0.0,2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.294980694980695,36
0.0,2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.045900771088547294,36
0.0,2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.15315315315315317,36
0.0,2281,pfss_midlat_abs_mean,density_mean,pearson,-0.12042846870775731,36
0.0,2281,pfss_midlat_abs_mean,density_mean,spearman,-0.004633204633204633,36
0.0,2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.22820355346025165,36
0.0,2281,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.22702702702702707,36
0.0,2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.33603435616400945,36
0.0,2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.32226512226512233,36
0.0,2281,pfss_global_abs_mean,speed_mean,pearson,-0.14583989493353366,36
0.0,2281,pfss_global_abs_mean,speed_mean,spearman,-0.18326898326898328,36
0.0,2281,pfss_global_abs_mean,bmag_mean,pearson,0.08100265666517925,36
0.0,2281,pfss_global_abs_mean,bmag_mean,spearman,0.174002574002574,36
0.0,2281,pfss_global_abs_mean,density_mean,pearson,-0.06579760472592755,36
0.0,2281,pfss_global_abs_mean,density_mean,spearman,-0.03783783783783784,36
0.0,2281,pfss_global_abs_mean,pdyn_mean,pearson,-0.1446756788892531,36
0.0,2281,pfss_global_abs_mean,pdyn_mean,spearman,-0.19819819819819823,36
0.0,2281,pfss_global_abs_mean,ma_mean,pearson,-0.2872412083369078,36
0.0,2281,pfss_global_abs_mean,ma_mean,spearman,-0.26924066924066925,36
0.0,2283,pfss_equator_abs_mean,speed_mean,pearson,0.0408334434136151,36
0.0,2283,pfss_equator_abs_mean,speed_mean,spearman,0.014671814671814673,36
0.0,2283,pfss_equator_abs_mean,bmag_mean,pearson,-0.020255701391032437,36
0.0,2283,pfss_equator_abs_mean,bmag_mean,spearman,0.03191763191763192,36
0.0,2283,pfss_equator_abs_mean,density_mean,pearson,-0.29427320532161805,36
0.0,2283,pfss_equator_abs_mean,density_mean,spearman,-0.39279279279279283,36
0.0,2283,pfss_equator_abs_mean,pdyn_mean,pearson,-0.3484756950505372,36
0.0,2283,pfss_equator_abs_mean,pdyn_mean,spearman,-0.4164736164736165,36
0.0,2283,pfss_equator_abs_mean,ma_mean,pearson,-0.3704429902956958,36
0.0,2283,pfss_equator_abs_mean,ma_mean,spearman,-0.3132561132561133,36
0.0,2283,pfss_midlat_abs_mean,speed_mean,pearson,0.03832435828871841,36
0.0,2283,pfss_midlat_abs_mean,speed_mean,spearman,0.06821106821106822,36
0.0,2283,pfss_midlat_abs_mean,bmag_mean,pearson,-0.05903472631827375,36
