cr,rows,period_days,lag_mean_days,lag_min_days,lag_max_days,shift_mean_deg,shift_min_deg,shift_max_deg,unmatched_rows
2281,643,27.0,4.724375689024467,3.3900250398001757,6.35315803755144,62.991675853659565,45.20033386400234,84.7087738340192,0
2283,629,27.0,4.507068821689277,3.4935899595496718,5.661229934451779,60.09425095585702,46.58119946066228,75.48306579269038,0
2284,646,27.0,4.094527456535505,1.7051219385078416,5.462906592799008,54.59369942047339,22.734959180104553,72.83875457065345,0
2286,598,28.0,4.9041625243136355,3.0093906493664715,6.648653760228251,63.053518169746745,38.69216549185463,85.48269120293466,0
2287,634,27.0,4.415123829725195,3.1883878627116893,5.661229934451779,58.86831772966927,42.51183816948919,75.48306579269038,0
2290,671,28.0,4.273615250905246,2.998868304438617,5.624107115209472,54.94648179735317,38.55687819992507,72.30994862412179,0
