cr,x,y,method,r,n
2283,pfss_midlat_abs_mean,density_mean,pearson,0.21301523569217032,36
2283,pfss_midlat_abs_mean,density_mean,spearman,0.2370656370656371,36
2283,pfss_midlat_abs_mean,pdyn_mean,pearson,0.21360587675310588,36
2283,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2888030888030888,36
2283,pfss_midlat_abs_mean,ma_mean,pearson,-0.09407623205966888,36
2283,pfss_midlat_abs_mean,ma_mean,spearman,-0.05070785070785071,36
2283,pfss_global_abs_mean,speed_mean,pearson,-0.00740201390545112,36
2283,pfss_global_abs_mean,speed_mean,spearman,0.009781209781209782,36
2283,pfss_global_abs_mean,bmag_mean,pearson,0.16579334224854245,36
2283,pfss_global_abs_mean,bmag_mean,spearman,0.23063063063063063,36
2283,pfss_global_abs_mean,density_mean,pearson,0.03558830081797353,36
2283,pfss_global_abs_mean,density_mean,spearman,0.05353925353925355,36
2283,pfss_global_abs_mean,pdyn_mean,pearson,0.03227681874053934,36
2283,pfss_global_abs_mean,pdyn_mean,spearman,0.10321750321750323,36
2283,pfss_global_abs_mean,ma_mean,pearson,-0.16246218262486167,36
2283,pfss_global_abs_mean,ma_mean,spearman,-0.1541827541827542,36
2284,pfss_equator_abs_mean,speed_mean,pearson,0.5361173492650051,36
2284,pfss_equator_abs_mean,speed_mean,spearman,0.12380952380952381,36
2284,pfss_equator_abs_mean,bmag_mean,pearson,0.2519802730156018,36
2284,pfss_equator_abs_mean,bmag_mean,spearman,0.16911196911196916,36
2284,pfss_equator_abs_mean,density_mean,pearson,0.005362774823218217,36
2284,pfss_equator_abs_mean,density_mean,spearman,-0.055083655083655085,36
2284,pfss_equator_abs_mean,pdyn_mean,pearson,0.2508849860245128,36
2284,pfss_equator_abs_mean,pdyn_mean,spearman,0.12200772200772203,36
2284,pfss_equator_abs_mean,ma_mean,pearson,-0.03096040806214387,36
2284,pfss_equator_abs_mean,ma_mean,spearman,-0.10965250965250965,36
2284,pfss_midlat_abs_mean,speed_mean,pearson,0.5187344922689192,36
2284,pfss_midlat_abs_mean,speed_mean,spearman,0.0061776061776061784,36
2284,pfss_midlat_abs_mean,bmag_mean,pearson,0.21587188756716788,36
2284,pfss_midlat_abs_mean,bmag_mean,spearman,0.11814671814671815,36
2284,pfss_midlat_abs_mean,density_mean,pearson,-0.033095458753340454,36
2284,pfss_midlat_abs_mean,density_mean,spearman,-0.11016731016731017,36
2284,pfss_midlat_abs_mean,pdyn_mean,pearson,0.20951164207431971,36
2284,pfss_midlat_abs_mean,pdyn_mean,spearman,0.033204633204633204,36
2284,pfss_midlat_abs_mean,ma_mean,pearson,-0.04007036285650343,36
2284,pfss_midlat_abs_mean,ma_mean,spearman,-0.11274131274131274,36
2284,pfss_global_abs_mean,speed_mean,pearson,0.23371884075175967,36
2284,pfss_global_abs_mean,speed_mean,spearman,-0.13848133848133848,36
2284,pfss_global_abs_mean,bmag_mean,pearson,0.049330956759271606,36
2284,pfss_global_abs_mean,bmag_mean,spearman,0.17657657657657658,36
2284,pfss_global_abs_mean,density_mean,pearson,-0.20006835055930525,36
2284,pfss_global_abs_mean,density_mean,spearman,-0.164993564993565,36
2284,pfss_global_abs_mean,pdyn_mean,pearson,-0.025351774425195282,36
2284,pfss_global_abs_mean,pdyn_mean,spearman,-0.08622908622908623,36
2284,pfss_global_abs_mean,ma_mean,pearson,-0.15780480297650154,36
2284,pfss_global_abs_mean,ma_mean,spearman,-0.22187902187902186,36
2286,pfss_equator_abs_mean,speed_mean,pearson,0.17579842016951655,36
2286,pfss_equator_abs_mean,speed_mean,spearman,0.14453954595861146,36
2286,pfss_equator_abs_mean,bmag_mean,pearson,0.5745188169593913,36
2286,pfss_equator_abs_mean,bmag_mean,spearman,0.5788931788931789,36
2286,pfss_equator_abs_mean,density_mean,pearson,0.4183756694647769,36
