cr,rows,lag_mean_days,lag_min_days,lag_max_days,shift_mean_deg,shift_min_deg,shift_max_deg,rss
2281,643,4.724375689024468,3.390025039800176,6.35315803755144,62.991675853659565,45.20033386400234,84.7087738340192,2.0
2283,629,4.507068821689276,3.493589959549672,5.661229934451779,60.094250955857014,46.58119946066228,75.48306579269038,2.0
2284,646,4.094527456535505,1.7051219385078416,5.462906592799008,54.59369942047339,22.734959180104557,72.83875457065345,2.0
2286,598,4.9041625243136355,3.0093906493664715,6.648653760228251,63.05351816974673,38.69216549185463,85.48269120293466,2.0
2290,671,4.273615250905246,2.998868304438617,5.624107115209472,54.94648179735317,38.55687819992507,72.30994862412179,2.0
2281,643,4.713287279215738,3.3820684357158544,6.338246772119341,62.843830389543164,45.09424580954472,84.50995696159121,2.5
2283,629,4.49649044490033,3.485390282020819,5.647942668225156,59.95320593200439,46.47187042694426,75.30590224300207,2.5
2284,646,4.084917340532952,1.7011199090181135,5.450084804051663,54.46556454043936,22.68159878690818,72.6677973873555,2.5
2286,598,4.892652143383401,3.00232741837232,6.633048947566752,62.9055275577866,38.60135252192983,85.2820578972868,2.5
2290,671,4.263584804474628,2.991829770056332,5.61090697859745,54.81751891467379,38.46638275786712,72.14023258196723,2.5
2281,643,4.702198869407008,3.3741118316315326,6.3233355066872425,62.695984925426764,44.9881577550871,84.31114008916323,3.0
2283,629,4.485912068111382,3.4771906044919665,5.634655401998533,59.81216090815177,46.36254139322622,75.12873869331376,3.0
2284,646,4.075307224530399,1.697117879528385,5.437263015304317,54.33742966040533,22.6282383937118,72.49684020405755,3.0
2286,598,4.881141762453168,2.995264187378168,6.617444134905253,62.75753694582644,38.51053955200501,85.08142459163898,3.0
2290,671,4.25355435804401,2.984791235674048,5.597706841985428,54.68855603199441,38.37588731580918,71.97051653981264,3.0
