sample,rss,cr,x,y,method,r,n,abs_r,null_p_two_sided_abs,null_abs_percentile,null_abs_p95
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.06734738734194164,144,0.06734738734194164,0.5347326336831584,46.550000000000004,0.21942079968718142
ambient_without_cr2284,2.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.10280122176673902,144,0.10280122176673902,0.3333333333333333,66.7,0.20901535246362835
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,pearson,-0.12204319690185221,144,0.12204319690185221,0.44577711144427784,55.45,0.2772616215989265
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.14214305737393373,144,0.14214305737393373,0.2733633183408296,72.7,0.24059223594602205
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.2945223564376784,144,0.2945223564376784,0.010494752623688156,99.0,0.22952872143672776
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.28721594648349286,144,0.28721594648349286,0.009995002498750625,99.05000000000001,0.21175881335796937
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,pearson,0.2829713227113845,144,0.2829713227113845,0.030984507746126936,96.95,0.2615836445409863
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,density_mean,spearman,0.3658974016332946,144,0.3658974016332946,0.018490754622688656,98.2,0.30618509985657666
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.277893986519682,144,0.277893986519682,0.047476261869065464,95.3,0.2740487229436007
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.3147335423197492,144,0.3147335423197492,0.03948025987006497,96.1,0.297237963186239
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.060389385622960506,144,0.060389385622960506,0.5807096451774113,41.949999999999996,0.21026721101716747
ambient_without_cr2284,2.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.09560726629692147,144,0.09560726629692147,0.36881559220389803,63.14999999999999,0.21306848324089697
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.16665374185379736,144,0.16665374185379736,0.25287356321839083,74.75,0.2699629557790306
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,speed_mean,spearman,-0.18889175798956365,144,0.18889175798956365,0.14942528735632185,85.1,0.2462423099453758
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.2898662830986009,144,0.2898662830986009,0.017991004497751123,98.25,0.23601044997893522
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.2616512555777138,144,0.2616512555777138,0.01649175412293853,98.4,0.21603640788171807
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,density_mean,pearson,0.2609468058178611,144,0.2609468058178611,0.04897551224387806,95.15,0.2585340592548125
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,density_mean,spearman,0.3312277260950612,144,0.3312277260950612,0.02798600699650175,97.25,0.30042520740430667
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.2268149639324741,144,0.2268149639324741,0.095952023988006,90.45,0.26769573803611024
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.26157463226428745,144,0.26157463226428745,0.08295852073963018,91.75,0.2885941644562334
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.06885899838304217,144,0.06885899838304217,0.5342328835582209,46.6,0.21270861950948278
ambient_without_cr2284,2.0,all,pfss_global_abs_mean,ma_mean,spearman,-0.11690780483883934,144,0.11690780483883934,0.3053473263368316,69.5,0.22350996704444975
final_with_cr2284,2.5,all,pfss_equator_abs_mean,speed_mean,pearson,0.10724001046969721,180,0.10724001046969721,0.2773613193403298,72.3,0.1919924180669559
final_with_cr2284,2.5,all,pfss_equator_abs_mean,speed_mean,spearman,-0.01158267393302251,180,0.01158267393302251,0.9215392303848076,7.85,0.20412024457580952
final_with_cr2284,2.5,all,pfss_equator_abs_mean,bmag_mean,pearson,0.25612154301870915,180,0.25612154301870915,0.004997501249375313,99.55000000000001,0.17282929348118894
final_with_cr2284,2.5,all,pfss_equator_abs_mean,bmag_mean,spearman,0.29855772223309307,180,0.29855772223309307,0.001999000499750125,99.85000000000001,0.20289679871644742
final_with_cr2284,2.5,all,pfss_equator_abs_mean,density_mean,pearson,0.2231027597646069,180,0.2231027597646069,0.05647176411794103,94.39999999999999,0.2273612113463991
final_with_cr2284,2.5,all,pfss_equator_abs_mean,density_mean,spearman,0.2685226910295585,180,0.2685226910295585,0.02498750624687656,97.55,0.23655925594411348
final_with_cr2284,2.5,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.1918745894047536,180,0.1918745894047536,0.04897551224387806,95.15,0.19081317594277672
final_with_cr2284,2.5,all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2799222198215994,180,0.2799222198215994,0.013493253373313344,98.7,0.22625883514923295
final_with_cr2284,2.5,all,pfss_equator_abs_mean,ma_mean,pearson,-0.07945455523257991,180,0.07945455523257991,0.42328835582208896,57.699999999999996,0.18766842973501893
final_with_cr2284,2.5,all,pfss_equator_abs_mean,ma_mean,spearman,-0.131481424323796,180,0.131481424323796,0.16041979010494753,84.0,0.17585769108100044
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,speed_mean,pearson,0.0746168977245239,180,0.0746168977245239,0.4302848575712144,56.99999999999999,0.18371642868250138
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,speed_mean,spearman,-0.06580662551998454,180,0.06580662551998454,0.585207396301849,41.5,0.20844867480352477
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.24254354546962983,180,0.24254354546962983,0.0069965017491254375,99.35000000000001,0.17851237650272028
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2769191831637059,180,0.2769191831637059,0.005497251374312844,99.5,0.20303250256312164
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,density_mean,pearson,0.22095765847200155,180,0.22095765847200155,0.06096951524237881,93.95,0.23116114784979305
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,density_mean,spearman,0.2677407738921983,180,0.2677407738921983,0.03648175912043978,96.39999999999999,0.2495704599936212
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.16985356402632715,180,0.16985356402632715,0.05997001499250375,94.05,0.17811484977907943
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.25806352047902714,180,0.25806352047902714,0.031484257871064465,96.89999999999999,0.23361389754827824
final_with_cr2284,2.5,all,pfss_midlat_abs_mean,ma_mean,pearson,-0.07767223901374819,180,0.07767223901374819,0.4407796101949025,55.95,0.18556383378430552
