sample,rss,cr,x,y,method,r,n,abs_r
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.12791129078635727,36,0.12791129078635727
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,pdyn_mean,spearman,0.09652509652509651,36,0.09652509652509651
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.2593910987505203,36,0.2593910987505203
final_with_cr2284,2.0,2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.19922779922779926,36,0.19922779922779926
final_with_cr2284,2.0,2281,pfss_global_abs_mean,speed_mean,pearson,-0.4005995436279636,36,0.4005995436279636
final_with_cr2284,2.0,2281,pfss_global_abs_mean,speed_mean,spearman,-0.4146718146718147,36,0.4146718146718147
final_with_cr2284,2.0,2281,pfss_global_abs_mean,bmag_mean,pearson,0.12806558612438043,36,0.12806558612438043
final_with_cr2284,2.0,2281,pfss_global_abs_mean,bmag_mean,spearman,0.19846837031894826,36,0.19846837031894826
final_with_cr2284,2.0,2281,pfss_global_abs_mean,density_mean,pearson,0.024420295720840514,36,0.024420295720840514
final_with_cr2284,2.0,2281,pfss_global_abs_mean,density_mean,spearman,0.3675675675675676,36,0.3675675675675676
final_with_cr2284,2.0,2281,pfss_global_abs_mean,pdyn_mean,pearson,-0.06246252814500381,36,0.06246252814500381
final_with_cr2284,2.0,2281,pfss_global_abs_mean,pdyn_mean,spearman,0.08803088803088803,36,0.08803088803088803
final_with_cr2284,2.0,2281,pfss_global_abs_mean,ma_mean,pearson,-0.17406511480877804,36,0.17406511480877804
final_with_cr2284,2.0,2281,pfss_global_abs_mean,ma_mean,spearman,-0.13642213642213644,36,0.13642213642213644
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,speed_mean,pearson,-0.07341610152287029,36,0.07341610152287029
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,speed_mean,spearman,0.038610038610038616,36,0.038610038610038616
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,bmag_mean,pearson,0.30358210482091036,36,0.30358210482091036
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,bmag_mean,spearman,0.40051480051480054,36,0.40051480051480054
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,density_mean,pearson,0.32155296049439286,36,0.32155296049439286
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,density_mean,spearman,0.35263835263835264,36,0.35263835263835264
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,pdyn_mean,pearson,0.31258954345107276,36,0.31258954345107276
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,pdyn_mean,spearman,0.4,36,0.4
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,ma_mean,pearson,-0.09169201154152272,36,0.09169201154152272
final_with_cr2284,2.0,2283,pfss_equator_abs_mean,ma_mean,spearman,-0.11274131274131274,36,0.11274131274131274
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,speed_mean,pearson,-0.033861632759492534,36,0.033861632759492534
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,speed_mean,spearman,0.014929214929214929,36,0.014929214929214929
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,bmag_mean,pearson,0.2277975823973994,36,0.2277975823973994
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,bmag_mean,spearman,0.2921492921492922,36,0.2921492921492922
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,density_mean,pearson,0.21301523569217032,36,0.21301523569217032
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,density_mean,spearman,0.2370656370656371,36,0.2370656370656371
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,pdyn_mean,pearson,0.21360587675310588,36,0.21360587675310588
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,pdyn_mean,spearman,0.2888030888030888,36,0.2888030888030888
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,ma_mean,pearson,-0.09407623205966888,36,0.09407623205966888
final_with_cr2284,2.0,2283,pfss_midlat_abs_mean,ma_mean,spearman,-0.05070785070785071,36,0.05070785070785071
final_with_cr2284,2.0,2283,pfss_global_abs_mean,speed_mean,pearson,-0.00740201390545112,36,0.00740201390545112
final_with_cr2284,2.0,2283,pfss_global_abs_mean,speed_mean,spearman,0.009781209781209782,36,0.009781209781209782
final_with_cr2284,2.0,2283,pfss_global_abs_mean,bmag_mean,pearson,0.16579334224854245,36,0.16579334224854245
final_with_cr2284,2.0,2283,pfss_global_abs_mean,bmag_mean,spearman,0.23063063063063063,36,0.23063063063063063
final_with_cr2284,2.0,2283,pfss_global_abs_mean,density_mean,pearson,0.03558830081797353,36,0.03558830081797353
final_with_cr2284,2.0,2283,pfss_global_abs_mean,density_mean,spearman,0.05353925353925355,36,0.05353925353925355
final_with_cr2284,2.0,2283,pfss_global_abs_mean,pdyn_mean,pearson,0.03227681874053933,36,0.03227681874053933
final_with_cr2284,2.0,2283,pfss_global_abs_mean,pdyn_mean,spearman,0.10321750321750323,36,0.10321750321750323
final_with_cr2284,2.0,2283,pfss_global_abs_mean,ma_mean,pearson,-0.16246218262486167,36,0.16246218262486167
final_with_cr2284,2.0,2283,pfss_global_abs_mean,ma_mean,spearman,-0.1541827541827542,36,0.1541827541827542
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,speed_mean,pearson,0.5361173492650051,36,0.5361173492650051
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,speed_mean,spearman,0.12380952380952381,36,0.12380952380952381
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,bmag_mean,pearson,0.2519802730156018,36,0.2519802730156018
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,bmag_mean,spearman,0.16911196911196916,36,0.16911196911196916
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,density_mean,pearson,0.005362774823218217,36,0.005362774823218217
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,density_mean,spearman,-0.055083655083655085,36,0.055083655083655085
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,pdyn_mean,pearson,0.2508849860245128,36,0.2508849860245128
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,pdyn_mean,spearman,0.12200772200772203,36,0.12200772200772203
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,ma_mean,pearson,-0.030960408062143875,36,0.030960408062143875
final_with_cr2284,2.0,2284,pfss_equator_abs_mean,ma_mean,spearman,-0.10965250965250965,36,0.10965250965250965
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,speed_mean,pearson,0.5187344922689192,36,0.5187344922689192
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,speed_mean,spearman,0.0061776061776061784,36,0.0061776061776061784
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,bmag_mean,pearson,0.21587188756716788,36,0.21587188756716788
final_with_cr2284,2.0,2284,pfss_midlat_abs_mean,bmag_mean,spearman,0.11814671814671815,36,0.11814671814671815
